sucursal,fecha_emision,dni_empleado,dni_admin,producto,categoria,familia,cantidad
catam2,,,,AMERICANA,helado,crema blanca,0
catam2,,,,ARANDANO Y CASSIS,helado,crema blanca,0
catam2,,,,BANANA SPLIT,helado,crema blanca,0
catam2,,,,BANANINA,helado,crema blanca,0
catam2,,,,BISCUIT,helado,crema blanca,0
catam2,,,,CAYOTE CON NUEZ,helado,crema blanca,0
catam2,,,,CEREZA,helado,crema blanca,0
catam2,,,,COCOLECHE,helado,crema blanca,0
catam2,,,,CREMA DE CAFE,helado,crema blanca,0
catam2,,,,CREMA DE HIGO CON NUEZ,helado,crema blanca,0
catam2,,,,CREMA DEL CIELO,helado,crema blanca,0
catam2,,,,CREMA RUSA,helado,crema blanca,0
catam2,,,,DELICIA TELLO,helado,crema blanca,0
catam2,,,,FRUTILLA A LA CREMA,helado,crema blanca,0
catam2,,,,FRUTOS DEL BOSQUE,helado,crema blanca,0
catam2,,,,GRANIZADO,helado,crema blanca,0
catam2,,,,LEMON PIE,helado,crema blanca,0
catam2,,,,MANTECOL,helado,crema blanca,0
catam2,,,,MANZANAS AL OPORTO,helado,crema blanca,0
catam2,,,,MARACUYA,helado,crema blanca,0
catam2,,,,MENTA GRANIZADA,helado,crema blanca,0
catam2,,,,PANACOTTA,helado,crema blanca,0
catam2,,,,PISTACHO,helado,crema blanca,0
catam2,,,,SAMBAYON,helado,crema blanca,0
catam2,,,,TIRAMISU,helado,crema blanca,0
catam2,,,,TORTA BROWNIE,helado,crema blanca,0
catam2,,,,YOGUR GRIEGO,helado,crema blanca,0
catam2,,,,CREMA DON PEDRO,helado,crema vainilla,0
catam2,,,,CREMA FLAN,helado,crema vainilla,0
catam2,,,,KINOTOS AL WHISKY,helado,crema vainilla,0
catam2,,,,VAINILLA,helado,crema vainilla,0
catam2,,,,VAINILLA GRANIZADA,helado,crema vainilla,0
catam2,,,,CHOCOTORTA,helado,dulce de leche,0
catam2,,,,DOLCCINO,helado,dulce de leche,0
catam2,,,,DULCE DE LECHE,helado,dulce de leche,0
catam2,,,,DULCE DE LECHE BOMBON,helado,dulce de leche,0
catam2,,,,DULCE DE LECHE CON NUEZ,helado,dulce de leche,0
catam2,,,,DULCE DE LECHE GRANIZADO,helado,dulce de leche,0
catam2,,,,DULCE DE LECHE TENTACION,helado,dulce de leche,0
catam2,,,,ANANA,helado,frutas,0
catam2,,,,DURAZNO AL AGUA,helado,frutas,0
catam2,,,,FRUTILLA AL AGUA,helado,frutas,0
catam2,,,,LIMON,helado,frutas,0
catam2,,,,MANGO,helado,frutas,0
catam2,,,,Cheescake DL/ Oreo,minitortas,,0
catam2,,,,Dulccina,minitortas,,0
catam2,,,,Nutella,minitortas,,0
catam2,,,,Carita,paletas,,0
catam2,,,,Chancho,paletas,,0
catam2,,,,Clasica,paletas,,0
catam2,,,,Corazon,paletas,,0
catam2,,,,Cristal,paletas,,0
catam2,,,,Dona Banana Split,paletas,,0
catam2,,,,Dona flan,paletas,,0
catam2,,,,Dubai,paletas,,0
catam2,,,,Hello Kitty,paletas,,0
catam2,,,,Pata,paletas,,0
catam2,,,,Tango,paletas,,0
catam2,,,,Torta,paletas,,0
catam2,,,,Vaca Aurora,paletas,,0
catam2,,,,chocolatin,paletas,,0
catam2,,,,Brownie,tartas,,0
catam2,,,,Cabsha,tartas,,0
