producto_id,producto,familia,categoria,pozo,salon,mandar
19,Rocklets,,agregados,3.0,0.0,0.0
280,Almendra baña x100,,chocolates,1.0,1.0,0.0
281,Almendra baña x150,,chocolates,2.0,0.0,0.0
282,Almendra confitada x100,,chocolates,0.0,0.0,0.0
283,Almendra confitada x250,,chocolates,0.0,0.0,0.0
251,Coco,,cuadrados,0.0,1.0,2.0
250,Cuadradito Brownie,,cuadrados,0.0,1.0,2.0
252,Pastafrola,,cuadrados,0.0,3.0,0.0
734,DIET ANANA,,diet,1.0,,0.0
710,BOMBON ROCHER,chocolate,helado,0.0,1.5,1.0
723,CHOCOLATE,chocolate,helado,0.0,1.5,0.0
724,CHOCOLATE A LA CUBANA,chocolate,helado,0.0,0.5,0.0
725,CHOCOLATE AMARGO,chocolate,helado,0.0,0.5,0.0
726,CHOCOLATE BLANCO,chocolate,helado,0.0,0.5,0.0
727,CHOCOLATE CON ALMENDRAS,chocolate,helado,0.0,1.25,1.0
728,CHOCOLATE CON CEREZAS,chocolate,helado,0.0,0.0,0.25
782,CHOCOLATE DUBAI,chocolate,helado,0.0,0.0,0.0
730,CHOCOLATE SUIZO,chocolate,helado,0.0,1.5,1.0
718,KINDOVO,chocolate,helado,0.0,0.25,0.5
729,MARROC,chocolate,helado,0.0,-0.25,0.25
702,ALMENDRADO,crema blanca,helado,0.0,0.25,0.0
703,AMERICANA,crema blanca,helado,0.0,2.0,0.0
706,ARANDANO Y CASSIS,crema blanca,helado,0.0,1.25,1.0
707,BANANA SPLIT,crema blanca,helado,0.0,0.75,1.0
715,BANANINA,crema blanca,helado,0.0,0.25,0.0
708,BISCUIT,crema blanca,helado,0.0,1.5,0.0
712,CAYOTE CON NUEZ,crema blanca,helado,0.0,-0.25,0.25
713,CEREZA,crema blanca,helado,0.0,1.5,0.0
716,COCOLECHE,crema blanca,helado,0.0,0.5,0.0
711,CREMA DE CAFE,crema blanca,helado,0.0,0.25,0.0
719,CREMA DE HIGO CON NUEZ,crema blanca,helado,0.0,0.5,0.0
720,CREMA DEL CIELO,crema blanca,helado,0.0,0.25,0.0
722,CREMA RUSA,crema blanca,helado,0.0,0.0,0.25
732,DELICIA TELLO,crema blanca,helado,0.0,2.0,0.0
749,FRUTILLA A LA CREMA,crema blanca,helado,0.0,2.75,1.0
752,FRUTOS DEL BOSQUE,crema blanca,helado,0.0,1.0,0.0
753,GRANIZADO,crema blanca,helado,0.0,2.0,0.0
772,LEMON PIE,crema blanca,helado,0.0,0.0,0.5
758,MANTECOL,crema blanca,helado,0.0,-0.25,0.5
759,MANZANAS AL OPORTO,crema blanca,helado,0.0,0.0,0.25
773,MARACUYA,crema blanca,helado,0.0,0.0,0.5
761,MENTA GRANIZADA,crema blanca,helado,0.0,-0.25,0.25
762,PANACOTTA,crema blanca,helado,0.0,1.0,1.0
775,PISTACHO,crema blanca,helado,0.0,0.0,0.0
763,SAMBAYON,crema blanca,helado,0.0,0.25,1.0
764,TIRAMISU,crema blanca,helado,0.0,0.25,0.0
766,TORTA BROWNIE,crema blanca,helado,0.0,0.25,0.5
776,YOGUR GRIEGO,crema blanca,helado,0.0,-0.25,0.25
721,CREMA DON PEDRO,crema vainilla,helado,0.0,0.25,0.0
748,CREMA FLAN,crema vainilla,helado,0.0,0.5,0.0
754,KINOTOS AL WHISKY,crema vainilla,helado,0.0,0.25,0.0
768,VAINILLA,crema vainilla,helado,0.0,1.5,1.0
770,VAINILLA GRANIZADA,crema vainilla,helado,0.0,0.0,0.25
717,CHOCOTORTA,dulce de leche,helado,0.0,0.5,0.0
739,DOLCCINO,dulce de leche,helado,0.0,1.5,0.0
740,DULCE DE LECHE,dulce de leche,helado,0.0,1.0,1.0
741,DULCE DE LECHE BOMBON,dulce de leche,helado,0.0,2.0,0.0
742,DULCE DE LECHE CON NUEZ,dulce de leche,helado,0.0,1.25,1.0
743,DULCE DE LECHE GRANIZADO,dulce de leche,helado,0.0,5.5,1.0
744,DULCE DE LECHE TENTACION,dulce de leche,helado,0.0,1.5,0.0
705,ANANA,frutas,helado,0.0,0.75,0.0
746,DURAZNO AL AGUA,frutas,helado,0.0,0.25,0.0
750,FRUTILLA AL AGUA,frutas,helado,0.0,0.75,0.0
755,LIMON,frutas,helado,0.0,1.0,0.0
757,MANGO,frutas,helado,0.0,0.5,0.0
86,Bandeja chica,,insumos,0.0,0.0,0.0
87,Bandeja grande,,insumos,0.0,0.0,0.0
83,Blondas,,insumos,0.0,0.0,0.0
91,Cinta con logo TELLO,,insumos,3.0,0.0,0.0
72,Cucharita sundae,,insumos,0.0,1.0,0.0
73,Folex,,insumos,0.0,0.0,0.0
70,Guantes,,insumos,0.0,0.0,0.0
89,Helafilm 1/2kg,,insumos,2.0,0.0,0.0
88,Helafilm 1/4kg,,insumos,4.0,0.0,0.0
90,Helafilm 1kg,,insumos,2.0,0.0,0.0
84,Moños por paquete,,insumos,0.0,0.0,0.0
71,Portaconos,,insumos,0.0,0.0,0.0
75,Servilletas beige Tello,,insumos,0.0,0.0,0.0
74,Servilletas blancas,,insumos,0.0,0.0,0.0
79,Sorbetes,,insumos,0.0,0.0,0.0
76,Vasos c/ logo 120cc,,insumos,0.0,1.0,0.0
77,Vasos c/ logo 360cc,,insumos,1.0,2.0,0.0
85,Velas,,insumos,0.0,0.0,0.0
402,Cheescake DL/ Oreo,,minitortas,0.0,2.0,0.0
401,Dulccina,,minitortas,0.0,1.0,0.0
400,Nutella,,minitortas,0.0,2.0,0.0
506,Chancho,,paletas,0.0,3.0,0.0
500,Clasica,,paletas,0.0,4.0,0.0
502,Corazon,,paletas,0.0,1.0,1.0
507,Cristal,,paletas,0.0,0.0,6.0
511,Dona flan,,paletas,0.0,3.0,0.0
513,Dubai,,paletas,2.0,0.0,6.0
512,Hello Kitty,,paletas,0.0,2.0,3.0
504,Pata,,paletas,0.0,1.0,1.0
501,Tango,,paletas,0.0,3.0,3.0
509,Vaca Aurora,,paletas,0.0,5.0,0.0
508,chocolatin,,paletas,0.0,0.0,2.0
166,Alcohol liquido,,para postre,0.0,0.0,0.0
151,Cookie americana,,para postre,1.0,0.0,0.0
169,Cornet,,para postre,0.0,0.0,0.0
161,Crema de leche,,para postre,0.0,0.0,0.0
167,Cuchara media bola,,para postre,0.0,0.0,0.0
162,Dulce de leche familiar,,para postre,2.0,0.0,0.0
163,Ensalada frutas (lata),,para postre,2.0,0.0,0.0
168,Espatula chata,,para postre,0.0,0.0,0.0
165,Ganache blanca,,para postre,0.0,0.0,0.0
156,Hojaldre,,para postre,0.0,4.0,0.0
158,Manzana disecada,,para postre,0.0,0.0,0.0
150,Mini tarta manzana,,para postre,0.0,2.0,0.0
157,Pera disecada,,para postre,1.0,0.0,0.0
164,Peras (lata),,para postre,1.0,0.0,0.0
153,Plancha brownie,,para postre,4.0,0.0,0.0
171,Rollo posnet,,para postre,0.0,0.0,0.0
170,Rollos p/imp fiscal,,para postre,0.0,0.0,0.0
155,Sopa inglesa,,para postre,0.0,1.0,0.0
152,Toping arandanos,,para postre,0.0,0.0,0.0
154,Volcan,,para postre,1.0,4.0,0.0
2,Brownie con frutos rojos,,postre envasado,0.0,2.0,0.0
1,Tiramisu Postre,,postre envasado,0.0,0.0,2.0
112,Broches n°21/6,,utiles,2.0,2.0,0.0
117,Cinta transparente,,utiles,3.0,0.0,0.0
111,Felpon,,utiles,0.0,0.0,0.0
116,Gomillas,,utiles,0.0,0.0,0.0
110,Lapiceras,,utiles,0.0,0.0,0.0
113,Liquido corrector,,utiles,0.0,0.0,0.0
114,Remito devolucion mercaderia,,utiles,0.0,0.0,0.0
115,Sobres,,utiles,0.0,0.0,0.0
