producto_id,producto,familia,categoria,pozo,salon,mandar,fecha
603,Imperial Tarta,,tartas,9.0,0.0,1.0,08/09/2025
604,Lemon Pie Tarta,,tartas,0.0,0.0,2.0,08/09/2025
605,Maracuya Tarta,,tartas,1.0,0.0,1.0,08/09/2025
606,Mousse,,tartas,8.0,0.0,2.0,08/09/2025
607,Rocher,,tartas,12.0,0.0,0.0,08/09/2025
900,Bomba,,tortas,2.0,0.0,1.0,08/09/2025
901,Chaja,,tortas,1.0,0.0,0.0,08/09/2025
902,Imperial,,tortas,0.0,0.0,3.0,08/09/2025
903,Maria Luisa,,tortas,2.0,0.0,1.0,08/09/2025
904,Selva Negra,,tortas,0.0,0.0,1.0,08/09/2025
905,Tropical,,tortas,2.0,0.0,0.0,08/09/2025
803,BOMBON,,tortas heladas,4.0,0.0,0.0,08/09/2025
808,CHOCOOREO,,tortas heladas,4.0,0.0,0.0,08/09/2025
801,CLASICA AM/CHOC,,tortas heladas,3.0,0.0,0.0,08/09/2025
802,CLASICA VAI/ DL,,tortas heladas,4.0,0.0,0.0,08/09/2025
805,DEL AMERICANA,,tortas heladas,3.0,0.0,1.0,08/09/2025
806,DEL DULCE D LECHE,,tortas heladas,4.0,0.0,0.0,08/09/2025
800,OMELETTE,,tortas heladas,4.0,0.0,0.0,08/09/2025
804,PRIMAVERA,,tortas heladas,3.0,0.0,1.0,08/09/2025
807,VERONA,,tortas heladas,3.0,0.0,0.0,08/09/2025
