producto_id,producto,familia,categoria,pozo,salon,mandar
77,Vasos c/ logo 360cc,,insumos,0.0,0.0,0.0
85,Velas,,insumos,0.0,0.0,0.0
402,Cheescake DL/ Oreo,,minitortas,0.0,0.0,5.0
401,Dulccina,,minitortas,0.0,5.0,0.0
400,Nutella,,minitortas,0.0,4.0,1.0
503,Carita,,paletas,0.0,6.0,0.0
506,Chancho,,paletas,0.0,5.0,1.0
500,Clasica,,paletas,0.0,10.0,0.0
502,Corazon,,paletas,0.0,6.0,0.0
507,Cristal,,paletas,0.0,10.0,0.0
510,Dona Banana Split,,paletas,0.0,5.0,1.0
511,Dona flan,,paletas,0.0,2.0,4.0
513,Dubai,,paletas,12.0,5.0,5.0
512,Hello Kitty,,paletas,0.0,4.0,2.0
504,Pata,,paletas,0.0,3.0,3.0
501,Tango,,paletas,0.0,10.0,0.0
505,Torta,,paletas,0.0,5.0,1.0
509,Vaca Aurora,,paletas,0.0,5.0,1.0
508,chocolatin,,paletas,0.0,8.0,2.0
166,Alcohol liquido,,para postre,0.0,1.0,0.0
160,Chocolate para fondeau,,para postre,1.0,0.0,0.0
151,Cookie americana,,para postre,5.0,0.0,0.0
169,Cornet,,para postre,0.0,0.0,0.0
161,Crema de leche,,para postre,0.0,0.25,0.0
167,Cuchara media bola,,para postre,0.0,0.0,0.0
162,Dulce de leche familiar,,para postre,2.0,0.0,0.0
163,Ensalada frutas (lata),,para postre,1.0,1.0,0.0
168,Espatula chata,,para postre,0.0,0.0,0.0
165,Ganache blanca,,para postre,0.25,0.0,0.0
156,Hojaldre,,para postre,4.0,6.0,0.0
158,Manzana disecada,,para postre,5.0,0.0,0.0
150,Mini tarta manzana,,para postre,3.0,0.0,0.0
157,Pera disecada,,para postre,5.0,0.0,0.0
164,Peras (lata),,para postre,1.0,0.0,0.0
153,Plancha brownie,,para postre,4.0,6.0,0.0
171,Rollo posnet,,para postre,0.0,0.0,0.0
170,Rollos p/imp fiscal,,para postre,0.0,0.0,0.0
155,Sopa inglesa,,para postre,2.0,0.0,0.0
152,Toping arandanos,,para postre,1.0,0.0,0.0
159,Trufa p/ fondeau,,para postre,60.0,0.0,0.0
154,Volcan,,para postre,8.0,2.0,0.0
2,Brownie con frutos rojos,,postre envasado,0.0,2.0,1.0
1,Tiramisu Postre,,postre envasado,0.0,3.0,0.0
200,Caramelo,,salsas,3.0,0.0,0.0
202,Frutilla,,salsas,3.0,0.0,0.0
201,Salsa Chocolate,,salsas,3.0,0.0,0.0
203,Salsa Dulce de Leche,,salsas,3.0,0.0,0.0
600,Brownie,,tartas,3.0,0.0,9.0
601,Cabsha,,tartas,8.0,0.0,4.0
608,Cheescake Tarta,,tartas,0.0,0.0,1.0
602,Higo,,tartas,18.0,0.0,9.0
603,Imperial Tarta,,tartas,4.0,0.0,8.0
604,Lemon Pie Tarta,,tartas,0.0,0.0,3.0
605,Maracuya Tarta,,tartas,2.0,0.0,1.0
606,Mousse,,tartas,6.0,0.0,6.0
607,Rocher,,tartas,2.0,0.0,10.0
900,Bomba,,tortas,3.0,0.0,0.0
901,Chaja,,tortas,0.0,0.0,1.0
902,Imperial,,tortas,2.0,0.0,1.0
903,Maria Luisa,,tortas,2.0,0.0,0.0
904,Selva Negra,,tortas,1.0,0.0,0.0
905,Tropical,,tortas,1.0,0.0,1.0
803,BOMBON,,tortas heladas,3.0,0.0,1.0
808,CHOCOOREO,,tortas heladas,3.0,0.0,1.0
801,CLASICA AM/CHOC,,tortas heladas,3.0,0.0,0.0
802,CLASICA VAI/ DL,,tortas heladas,2.0,0.0,1.0
805,DEL AMERICANA,,tortas heladas,4.0,0.0,0.0
806,DEL DULCE D LECHE,,tortas heladas,1.0,0.0,3.0
800,OMELETTE,,tortas heladas,4.0,0.0,0.0
804,PRIMAVERA,,tortas heladas,3.0,0.0,1.0
807,VERONA,,tortas heladas,3.0,0.0,0.0
112,Broches n°21/6,,utiles,0.0,0.0,0.0
117,Cinta transparente,,utiles,0.0,0.0,0.0
116,Gomillas,,utiles,0.0,0.0,0.0
110,Lapiceras,,utiles,0.0,0.0,0.0
113,Liquido corrector,,utiles,0.0,0.0,0.0
114,Remito devolucion mercaderia,,utiles,0.0,0.0,0.0
115,Sobres,,utiles,0.0,0.0,0.0
