Suc 24 de Septiembre,,,,14/9/2025,,,,Encargado:,,,,,,,,,,,,,,,,,
,pozo,salon,mandar,,Hay,,Mandar,,,,,,,,,,,,,,,,,,
VAINILLA GRANIZADA,,0,1/4,Rocklets,,,MANDAR,,,,,,,,,,,,,,,,,,
YOGUR GRIEGO,,0,1/4,Pañuelos p/copas,HAY,,,Tabletas de chocolate,, ,,,,,,,,,,,,,,,
ICE POP (PALETAS), ,,,Leche descremada,3,,4,Marroc,, ,,,,,,,,,,,,,,,
Chocolatin ,,1,1,Bombones p/ café,,,MANDAR,Oreo,1,,,,,,,,,,,,,,,,
Diamont,,0,2,Chocolate p/ submarino,4,,,Frutos secos,0,,,,,,,,,,,,,,,,
Corazon,,1,,Jugo Citric ,,,,Rocklets,3,,,,,,,,,,,,,,,,
Pata,,1,,Bolsas:, ,, ,Dubai,5,,,,,,,,,,,,,,,,
Vaca Aurora,,2,3,Bolsa consorcio,1,,2,,,,,,,,,,,,,,,,,,
Chancho,,2,3,Bolsa residuos,2,,,Utiles,,,,,,,,,,,,,,,,,
Hello Kitty,,3,2,Bolsa camiseta,HAY,,,Lapiceras,HAY,,,,,,,,,,,,,,,,
Tango,,3,,Bolsa p/conito,4,,,Felpón,HAY,,,,,,,,,,,,,,,,
Dona flan,,0,2,,,,,Broches n°21/6,3,,,,,,,,,,,,,,,,
Clasica,,5,,Bolsa chica c/logo (papel),0,,2,,,,,,,,,,,,,,,,,,
Dubai,,5,,Bolsa gde. c/logo (papel),1,,1,Liquido corrector,HAY, ,,,,,,,,,,,,,,,
Caja para paleta,,HAY,,Bolsa gde. c/logo (plast. torta redonda),3,,,Remito devolución mercaderia, ,,,,,,,,,,,,,,,,
Minitortas,, ,,Bolsa rectang. c/logo (plast. torta rectang.),2,,,Sobres,HAY,,,,,,,,,,,,,,,,
Nutella, ,2,,Delivery (papel s/manija),,,1,Gomillas,HAY, ,,,,,,,,,,,,,,,
Dulccina, ,1,1,,,,,Cinta transparente,4, ,,,,,,,,,,,,,,,
Cheescake DL/ Oreo,,2,,,,,,Cinta tello,4,,,,,,,,,,,,,,,,
Cajas mini torta, , ,,,,,,,,,,,,,,,,,,,,,,,
Cuadrados:,,,, ,,,,,,,,,,,,,,,,,,,,,
Brownie, ,3,,,,,,,,,,,,,,,,,,,,,,,
Coco, ,3,,,,,,,,,,,,,,,,,,,,,,,
Pastafrola, ,0,3,,,,,,,,,,,,,,,,,,,,,,
Postre envasado:,,,,,,,,,,,,,,,,,,,,,,,,,
Tiramissu, ,2,,,,,,,,,,,,,,,,,,,,,,,
brownie con frutos rojos, ,2,,,,,,,,,,,,,,,,,,,,,,,
