Sucursal: CATAMARCA,,,FECHA,14/09/25,,,,Encargado:,,,,,,,,,,,,,,,,,
,POZO,SALON,MANDAR,,HAY,,MANDAR,,HAY,MANDAR,,,,,,,,,,,,,,,
ALMENDRADO,,2,,Tacita diet:,,,,Moños por paquete,HAY,,,,,,,,,,,,,,,,
AMERICANA,1,1,,Anana,2,,,Velas,HAY,,,,,,,,,,,,,,,,
ANANA,,1,,Durazno,2,,,bandeja chica,2,,,,,,,,,,,,,,,,
ARANDANOS Y CASIS,,1,1,Americana,3,,,Bandeja grande,2,,,,,,,,,,,,,,,,/
BANANA SPLIT,,1,1,Banana,2,,,helafilm 1/4 kg,4,,,,,,,,,,,,,,,,
BANANINA,,2,,Dulce de Leche,2,,,Helafim 1/2 kg,2,,,,,,,,,,,,,,,,
BOMBON ROCHER,1,1/4,1,Vainilla,4,,,Helafim 1 kg,2,,,,,,,,,,,,,,,,
CAYOTE CON NUEZ,,-1/4,1/4,,,,,Cinta con logo Tello,,,,,,,,,,,,,,,,,
CEREZA,,1,1,Tortas Heladas:,ENTERA,PORCION,MANDAR,,,,,,,,,,,,,,,,,,
COCOLECHE,,-1/4,1/4,Omelette,4,,,Cajas:,,,,,,,,,,,,,,,,,
CREMA BISCUIT,,1 1/2,1,Clasica am/choc,2,,1,Tartas,70,30,,,,,,,,,,,,,,,
CREMA DE CAFÉ,,2,,Clasica vai/ dl,4,,,Tortas Medianas,15,5,,,,,,,,,,,,,,,
CREMA DE HIGO C/NUEZ,,-1/4,1/4,Bombon ,3,,1,Tortas Grandes,15,5,,,,,,,,,,,,,,,
CREMA DEL CIELO,,-1/4,1/4,Primavera,4,,,Blondas,30,40,,,,,,,,,,,,,,,
CREMA DON PEDRO,,-1/4,1/4,Del Americana,4,,,,,,,,,,,,,,,,,,,,
CREMA FLAN,,-1/2,1/2,Del Dulce d leche,2,,2,Para Postre:,,,,,,,,,,,,,,,,,
CREMA RUSA,,-1/4,1/4,Verona,1,,1,Mini Tarta Manzana,4,,,,,,,,,,,,,,,,
CHOCOLATE,1,1,,Chocooreo,4,,,Cookie Americana,2,,,,,,,,,,,,,,,,
CHOCOLATE a la CUBANA,,-1/4,1/4,,,,,Topping Arandanos ,1,,,,,,,,,,,,,,,,
CHOCOLATE AMARGO,,-1/2,1/2,Tortas:,,,,Plancha brownie,9,1,,,,,,,,,,,,,,,
CHOCOLATE BLANCO,,-1/2,1/2,Bomba,1,,2,Volcan,7,3,,,,,,,,,,,,,,,
CHOCOLATE C/ALMENDRA,,1 1/2,1,Chaja,1,,,Sopa inglesa,0,2,,,,,,,,,,,,,,,
CHOCOLATE C/CEREZAS,,-1/4,1/4,Imperial,3,,,Hojaldre,5,5,,,,,,,,,,,,,,,
CHOCOLATE DUBAI,,-1/4,2,Maria Luisa,2,,1,Pera disecada,5,,,,,,,,,,,,,,,,
CHOCOLATE SUIZO,,1 1/4,1,Selva Negra,0,,1,Manzana disecada,5,,,,,,,,,,,,,,,,
CHOCOTORTA,,-1/2,1/2,Tropical,0,,2,,,,,,,,,,,,,,,,,,
DELICIA TELLO,,1/4,2,,,,,Trufa p/Fondeau,20,30,,,,,,,,,,,,,,,
DOLCCINO,,1 1/4,1,Tartas:,,,,Chocolate para Fondeau,1,,,,,,,,,,,,,,,,
DULCE DE LECHE,,1 1/4,1,Brownie,9,,4,crema de leche,0,1/4,,,,,,,,,,,,,,,
DULCE LECHE BOMBON,,1 1/2,,Cabsha,10,,2,Dulce de leche familiar,2,,,,,,,,,,,,,,,,
DULCE DE LECHE C/NUEZ,1,3/4,,Higo,7,,23,Ensaladas fruta (lata),1,1,,,,,,,,,,,,,,,
DULCE LECHE GRANIZ.,1,1/2,1,Imperial,10,,2,Peras (lata),2,,,,,,,,,,,,,,,,
DULCE LECHE TENTAC.,1,1/2,,Lemon Pie,2,,1,Ganache blanca,1/4,,,,,,,,,,,,,,,,
DURAZNO AL AGUA,,1,,Maracuya,1,,2,alcohol liquido,1,,,,,,,,,,,,,,,,
FRUTILLA A LA CREMA,,1 1/2,1,Mousse,9,,3,Alcohol en Gel,,,,,,,,,,,,,,,,,
FRUTILLA AL AGUA,,1,,Rocher,11,,1,Cuchara media bola,,,,,,,,,,,,,,,,,
FRUTOS DEL BOSQUE,,1,1,Cheescake,0,,2,Espatula chata,,,,,,,,,,,,,,,,,
GRANIZADO,1,1/2,,,,,,Cornet,,,,,,,,,,,,,,,,,
KINDOVO,,1 1/4,,Salsas:,,,,,,,,,,,,,,,,,,,,,
KINOTOS AL WHISKY,,2,,Caramelo,2,,1,Rollos p/imp. fiscal,,,,,,,,,,,,,,,,,
LIMON,,1 1/2,1,Chocolate,2,,1,Rollo Posnet,,,,,,,,,,,,,,,,,
LEMON PIE,,-1/2,1/2,Dulce de Leche,3,,,,,,,,,,,,,,,,,,,,
MANGO,,1/4,1/2,Frutilla,3,,,Chocolates,,,,,,,,,,,,,,,,,
MANTECOL,,-1/2,1/2,Sirope p/ Affogato,1,,,Almendra baña x 100,10,5,,,,,,,,,,,,,,,
MANZANAS AL OPORTO,,2,,,,,,Almendra baña x 250,14,,,,,,,,,,,,,,,,
MARACUYA,,-1/2,1/2,Agregados:,,,,Almendra confitada x100,,,,,,,,,,,,,,,,,
MARROC,,2,,Azucar,1/4,,,Almendra confitada x250,,,,,,,,,,,,,,,,,
MENTA GRANIZADA,,-1/4,1/4,Baño de choco,HAY,,,,,,,,,,,,,,,,,,,,
PANACOTTA,,1 1/4,1,Logo Tello,HAY,,,Tabletas de chocolate,5,10,,,,,,,,,,,,,,,
PISTACCHIO,,0,1/2,Cerezas (lata),1,,,Marroc,,,,,,,,,,,,,,,,,
