Sucursal Monteagudo,,,,15/9/2025,,,,,,,,,,,,,,,,,,,,,
,pozo,salon,mandar,,Hay,,Mandar,,Hay,Mandar,,,,,,,,,,,,,,,
,,,,,,,,Moños por paquete,,MANDAR,,,,,,,,,,,,,,,
ALMENDRADO,,-1/4,1,Tacita diet:,,,,Velas,HAY,,,,,,,,,,,,,,,,
AMERICANA,,1/2,1,Anana,1,,2,Bandeja chica,HAY,,,,,,,,,,,,,,,,
ANANA,,-1/4,1,Durazno,2,,1,Bandeja grande,HAY,,,,,,,,,,,,,,,,
ARANDANOS Y CASSIS,,1,,Americana,1,,2,Helafim 1/4 kg,2,,,,,,,,,,,,,,,,
BANANA SPLIT,,1+1/4,,Banana,2,,1,Helafim 1/2 kg,2,,,,,,,,,,,,,,,, /
BANANINA,1,1/4,,Dulce de Leche,0,,3,Helafim 1 kg,2,,,,,,,,,,,,,,,,/
BOMBON ROCHER,1,1/2,,Vainilla,0,,3,Cinta con Logo Tello,4,,,,,,,,,,,,,,,,/
CAYOTE CON NUEZ,,1/4,,,,,,,,,,,,,,,,,,,,,,,
CEREZA,,1/2,1,Tortas Heladas:,Entera,Porcion,MANDAR,Cajas:,,,,,,,,,,,,,,,,, 
COCOLECHE,,1/4,,Omelette,2,,1,Tartas,38,40,,,,,,,,,,,,,,,
CREMA BISCUIT,1,3/4,,Clasica Am/ Choc.,3,,,Tortas Medianas,12,,,,,,,,,,,,,,,,
CREMA DE CAFÉ,,1/4,,Clasica Vai/ DL,3,,,Tortas Grandes,6,,,,,,,,,,,,,,,,/
CREMA DE HIGO C/NUEZ,,1/4,,Bombon,2,,1,Blondas,HAY,,,,,,,,,,,,,,,,
CREMA DEL CIELO,,0,1,Primavera,3,,,,,,,,,,,,,,,,,,,,/
CREMA DON PEDRO,,0,1,Del. De Amer.,2,,1,Para Postre :,,,,,,,,,,,,,,,,,
CREMA FLAN,,1/4,1,Del. De D. de L,2,,1,Mini Tarta Manzana,3,,,,,,,,,,,,,,,,
CREMA RUSA,,-1/4,1,Verona,3,,,Cookie Americana,4,,,,,,,,,,,,,, ,,
