Suc 24 de Septiembre,,,,8/9/2025,,,,Encargado:,,,,,,,,,,,,,,,,,
,pozo,salon,mandar,,Hay,,Mandar,,,,,,,,,,,,,,,,,,
DULCE DE LECHE TENTACION, ,3/4,1,Maracuya Tarta,2,, ,Pera disecada,,,,,,,,,,,,,,,,,
DURAZNO AL AGUA, ,1/4,1,Mousse,6, ,3,Manzana disecada,,,,,,,,,,,,,,,,,
FRUTILLA A LA CREMA, ,1,1,Rocher,7,,1,,,,,,,,,,,,,,,,,,
FRUTILLA AL AGUA, ,1/4,,Cheescake,,,,Crema de leche, ,MANDAR,,,,,,,,,,,,,,,
FRUTOS DEL BOSQUE,,1 1/2, ,,,,,Dulce de leche familiar,3, ,,,,,,,,,,,,,,,
GRANIZADO,1,1/2,,Salsas:,,,,Ensaladas fruta (lata),3, ,,,,,,,,,,,,,,,
KINDOVO,,3/4, ,Caramelo,1,,1,Peras (lata),2,,,,,,,,,,,,,,,,
KINOTOS AL WHISKY,,1, ,Chocolate,1,,1,Ganache blanca,hay,,,,,,,,,,,,,,,,
LIMON,,1 1/4, ,Dulce de Leche,2,, ,Alcohol liquido,HAY,,,,,,,,,,,,,,,,
LEMON PIE,,3/4,1,Frutilla,2,,,Alcohol en Gel,,,,,,,,,,,,,,,,,
MANGO,,3/4, ,Sirope p/ Affogato,HAY,, ,Cuchara media bola,,,,,,,,,,,,,,,,,
MANTECOL,,1/4,1,,,,,Espatula chata,,,,,,,,,,,,,,,,,
MANZANAS AL OPORTO, ,1, ,Agregados:,,,,Cornet,,,,,,,,,,,,,,,,,/
MARACUYA, ,1, ,Azucar, ,,MANDAR,,,,,,,,,,,,,,,,,,/
MARROC, ,1, ,Baño de choco,HAY,, ,Rollos p/imp. fiscal,,,,,,,,,,,,,,,,,
MENTA GRANIZADA,,1, ,Logo Tello,HAY,, ,Rollo Posnet,,,,,,,,,,,,,,,,,
PANACOTTA, ,1 1/4, ,Cerezas (lata),HAY,, ,,,,,,,,,,,,,,,,,,
PISTACCHIO,,0,1,Chispas de Choco,HAY,,,Chocolates,,,,,,,,,,,,,,,,,
SAMBAYON,,1, ,Kinotos (lata), ,,MANDAR,Almendra baña x 100,2, ,,,,,,,,,,,,,,,
TIRAMISU,,1/4,1,Lajas, ,,MANDAR,Almendra baña x 250,2, ,,,,,,,,,,,,,,,
TORTA BROWNIE, ,1, ,Merenguitos,HAY,, ,Almendra confitada x100, ,,,,,,,,,,,,,,,,
VAINILLA, ,1 1/2, ,Nueces, ,,MANDAR,Almendra confitada x250,,,,,,,,,,,,,,,,,
VAINILLA GRANIZADA,,1, ,Rocklets,HAY,, ,,,,,,,,,,,,,,,,,,
YOGUR GRIEGO,,1, ,Pañuelos p/copas, ,,MANDAR,Tabletas de chocolate,, ,,,,,,,,,,,,,,,
ICE POP (PALETAS), ,,,Leche descremada,6,, ,Marroc,, ,,,,,,,,,,,,,,,
Chocolatin ,, ,2,Bombones p/ café,,,MANDAR,Oreo,2,,,,,,,,,,,,,,,,
Diamont,,1,1,Chocolate p/ submarino,6,, ,Frutos secos,2,,,,,,,,,,,,,,,,
Corazon,,2, ,Jugo Citric ,,,,Rocklets,3, ,,,,,,,,,,,,,,,
Pata,,2, ,Bolsas:, ,, ,Dubai, ,5,,,,,,,,,,,,,,,
Vaca Aurora,,2,2,Bolsa consorcio,2,, ,,,,,,,,,,,,,,,,,,
Chancho,,2,2,Bolsa residuos,2,, ,Utiles,,,,,,,,,,,,,,,,,
Hello Kitty,,3,1,Bolsa camiseta,HAY,,,Lapiceras,HAY,,,,,,,,,,,,,,,,
Tango,,2,2,Bolsa p/conito,2,, ,Felpón,HAY,,,,,,,,,,,,,,,,
Dona flan,,2, ,,,,,Broches n°21/6,4, ,,,,,,,,,,,,,,,
CLASSIC,,4, ,Bolsa chica c/logo (papel),1,,2,,,,,,,,,,,,,,,,,,
Dubai,,4,,Bolsa gde. c/logo (papel),1,,,Liquido corrector,HAY, ,,,,,,,,,,,,,,,
Caja para paleta,,HAY, ,Bolsa gde. c/logo (plast. torta redonda),3,,,Remito devolución mercaderia, ,,,,,,,,,,,,,,,,
Minitortas,, ,,Bolsa rectang. c/logo (plast. torta rectang.),2,,,Sobres,HAY, ,,,,,,,,,,,,,,,
Nutella, , ,2,Delivery (papel s/manija), ,,MANDAR,Gomillas,HAY, ,,,,,,,,,,,,,,,
Dulccina, ,2, ,,,,,Cinta transparente,4, ,,,,,,,,,,,,,,,
Cheescake DL/ Oreo,,2, ,,,,,Cinta tello,3, ,,,,,,,,,,,,,,,
Cajas mini torta, , ,MANDAR,,,,,,,,,,,,,,,,,,,,,,
Cuadrados:,,,, ,,,,,,,,,,,,,,,,,,,,,
Brownie, ,3, ,,,,,,,,,,,,,,,,,,,,,,
Coco, ,2,1,,,,,,,,,,,,,,,,,,,,,,
Pastafrola, ,2,1,,,,,,,,,,,,,,,,,,,,,,
Postre envasado:,,,,,,,,,,,,,,,,,,,,,,,,,
Tiramissu, ,3, ,,,,,,,,,,,,,,,,,,,,,,
brownie con frutos rojos, ,1,1,,,,,,,,,,,,,,,,,,,,,,
"PLANILLA CAJ, CONTROL DE STOCK DIARIO Y DE PEDIDO",,,,,,,,,,,,,,,,,,,,,,,,,
