Suc 24 de Septiembre,,,,8/9/2025,,,,Encargado:,,,,,,,,,,,,,,,,,
,pozo,salon,mandar,,Hay,,Mandar,,,,,,,,,,,,,,,,,,
,,,,Tacita diet:,,,,Guantes , ,MANDAR,,,,,,,,,,,,,,,
ALMENDRADO,,1, ,DIER Anana,1,,1,Portaconos,HAY, ,,,,,,,,,,,,,,,
AMERICANA,1,1/2, ,DIET Durazno,2,, ,Cucharita sundae,HAY, ,,,,,,,,,,,,,,, /
ANANA, ,1/4,,DIET Americana,1,,1,Folex,HAY,,,,,,,,,,,,,,,,
ARANDANOS Y CASSIS, ,1 1/2, ,DIET Banana, ,,2,Servilleta Blancas,HAY, ,,,,,,,,,,,,,,,
BANANA SPLIT,1,1/2, ,DIET Dulce de Leche,2,, ,Servilleta Beige Tello,,,,,,,,,,,,,,,,,
BANANINA,,1/4,1,DIET Vainilla,1,,1,Vaso c/ Logo 120 cc,2, ,,,,,,,,,,,,,,,
BOMBON ROCHER, ,1 1/2, ,, ,,,Vaso c/ Logo 360cc,2, ,,,,,,,,,,,,,,,
CAYOTE CON NUEZ, ,1, ,Tortas Heladas:,Entera,Porcion,Mandar,Vaso plast.milk shake,19, ,,,,,,,,,,,,,,,
CEREZA,1,1/2, ,Omelette,3,, ,Sorbetes,HAY, ,,,,,,,,,,,,,,,
COCOLECHE,,1, ,Clasica am/choc,3,, ,Moños por paquete,HAY,,,,,,,,,,,,,,,,
CREMA BISCUIT, ,1,,Clasica vai/ dl,2,, ,Velas,HAY,,,,,,,,,,,,,,,,
CREMA DE CAFÉ,,1,,Bombon ,1, ,2,Bandeja chica,HAY,,,,,,,,,,,,,,,,
CREMA DE HIGO CON NUEZ,,0,1,Primavera,3,, ,Bandeja grande,HAY,,,,,,,,,,,,,,,,
CREMA DEL CIELO,,1, ,Del Americana,1,,2,Helafim 1/4 kg,7,,,,,,,,,,,,,,,,
CREMA DON PEDRO,,1, ,Del Dulce d leche,3,,,Helafim 1/2 kg,3,,,,,,,,,,,,,,,,
CREMA FLAN,,-1/4,1,Verona,3,, ,Helafim 1 kg,3,,,,,,,,,,,,,,,,
CREMA RUSA,,1, ,Chocooreo,2, ,1,Cinta con Logo Tello,3,,,,,,,,,,,,,,,,
CHOCOLATE, ,1 1/2, ,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE A LA CUBANA,,-1/4,1,Tortas:,,,,Cajas:, , , ,,,,,,,,,,,,,,
CHOCOLATE AMARGO,,1, ,Bomba,2, ,,Tartas,80,20,, , ,,,,,,,,,,,,
CHOCOLATE BLANCO,,1 1/4, ,Chaja,,,,Tortas Medianas,8, , , ,,,,,,,,,,,,,
CHOCOLATE CON ALM., ,3/4,1,Imperial,1,, ,Tortas Grandes,11, , ,,,,,,,,,,,,,,
CHOCOLATE CON CEREZAS,,2, ,Maria Luisa,,,,Blondas,,MANDAR, ,,,,,,,,,,,,,,
CHOCOLATE DUBAI,1,1/4, ,SELVA NEGRA,1,, ,,,, ,,,,,,,,,,,,,,
CHOCOLATE SUIZO, ,1 1/2, ,Tropical, ,,1,Para Postre:,,,,,,,,,,,,,,,,, 
CHOCOTORTA,,3/4, ,,,,,Mini Tarta Manzana,1,1,,,,,,,,,,,,,,,
DELICIA TELLO,1,1/2, ,Tartas:,,,,Cookie Americana,1,,,,,,,,,,,,,,,,
DOLCCINO, ,1 1/2, ,Brownie,5,,5,Topping Arandanos ,HAY,,,,,,,,,,,,,,,,
DULCE DE LECHE, ,1 1/2, ,Cabsha,9,, ,Plancha brownie,5, ,,,,,,,,,,,,,,,
DULCE DE LECHE BOMBON, ,1, ,Higo,16,,9,Volcan,5, ,,,,,,,,,,,,,,,
DULCE DE LECHE CON NUEZ,,1/2,1,Imperial Tarta,3,,5,Sopa inglesa, ,1,,,,,,,,,,,,,,,
DULCE DE LECHE GRANIZADO,1,1/2, ,lemon pie Tarta, ,,2,Hojaldre,4,,,,,,,,,,,,,,,,
