Sucursal: YERBA BUENA,,,Fecha:,08/09/2025,,,, Encargado: JUANI, ,,,,,,,,,,,,,,,,
,pozo,salon,mandar,,Hay,,Mandar,,Hay,Mandar,,,,,,,,,,,,,,,
VAINILLA,,1+3/4,,Merenguitos,4,,,Alcohol en Gel,, ,,,,,,,,,,,,,,,
VAINILLA GRANIZADA,,-1/4,1/4,Nueces,HAY,,,Cuchara media bola,, ,,,,,,,,,,,,,,,
YOGURT GRIEGO,,1/4,,Rocklets,HAY,,,Espatula chata,, ,,,,,,,,,,,,,,,
ICE POP (PALETAS),,,,Pañuelos p/ copas,HAY,,,Cornet,,  ,,,,,,,,,,,,,,,
Clasica,,9,3,Leche Descre.,9,,3,,,,,,,,,,,,,,,,,,
Tango,,8,4,Bombones p/café,0,,100,Rollos p/impresora fiscal,HAY,,,,,,,,,,,,,,,,
Corazon,,7,,,,,,Rollo p/posnet,HAY,,,,,,,,,,,,,,,,
Carita,,6,1,Queso untable,8,,,, , ,,,,,,,,,,,,,,,
Pata,,3,4,Te clasico,1,,,, ,  ,,,,,,,,,,,,,,,
Torta,,6,1,Te de boldo,1,,,Almendras baña x100,3,2,,,,,,,,,,,,,,,
Chancho,,4,3,Te de manzanilla,1,,,Almendra baña x 250,4,1,,,,,,,,,,,,,,,
Cristal,,8,4,Te de frutilla,1,,,,  , ,,,,,,,,,,,,,,,
Chocolatin,,9,3,Te de limón,1,,,Tabletas de chocolate,8,,,,,,,,,,,555,,,,,
Vaca Aurora ,,3,4,Te de hierbas,1,,,Marroc,, ,,,,,,,,,,,,,,,
Dona Banana Split,,6,1,Mate cocido,1,,,Oreo,, ,,,,,,,,,,,,,,,
Dona Flan,,5,2,Café bolsa x 1 kg,6KG,,,Frutos secos,, ,,,,,,,,,,,,,,,
Hello Kitty,,7,,Azucar x caja,2,,,Rocklets,, ,,,,,,,,,,,,,,,
Dubai,,3,9,Edulcorante x caja,2,,,Dubai,5,5,,,,,,,,,,,,,,,
Caja para paleta,,HAY,,Chocolate submarino,6,,,, , ,,,,,,,,,,,,,,,
