Sucursal: CATAMARCA,,,FECHA,10/09/25,,,,Encargado:,,,,,,,,,,,,,,,,,
,POZO,SALON,MANDAR,,HAY,,MANDAR,,HAY,MANDAR,,,,,,,,,,,,,,,
Tango,,9,1,Bombones p/ café,30,,30,,,,,,,,,,,,,,,,,,
Corazon,,6,,Chocolate p/ submarino,4,,,Utiles,,,,,,,,,,,,,,,,,
Carita,,6,,,,,,Lapiceras,,,,,,,,,,,,,,,,,
Pata,,2,4,BOLSAS,,,,Felpón,,,,,,,,,,,,,,,,,
Torta,,5,1,Bolsa consorcio,4,,,Broches n°21/6,,,,,,,,,,,,,,,,,
Chancho,,5,1,Bolsa residuos,4,,,Liquido corrector,,,,,,,,,,,,,,,,,
Cristal,,9,1,Bolsa camiseta,HAY,,,Remito devolución mercaderia,,,,,,,,,,,,,,,,,
chocolatin,,9,1,bolsa p/conito,4,,,SOBRES,,,,,,,,,,,,,,,,,
Vaca Aurora,,5,1,Bolsa chica c/logo (papel),1,,1,Gomillas ,,,,,,,,,,,,,,,,,
Dona Banana Split,,6,,Bolsa gde. c/logo (papel),HAY,,,Cinta transparente,,,,,,,,,,,,,,,,,
Dona flan,,6,,Bolsa gde. c/logo (plast. torta redonda),HAY,,,,,,,,,,,,,,,,,,,,
Hello Kitty,,5,1,Bolsa rectang. c/logo (plast. torta rectang.),HAY,,,,,,,,,,,,,,,,,,,,
Dubai,,6,4,Delivery (papel s/manija),1,,1,,,,,,,,,,,,,,,,,,
Caja para paleta,,,,,,,,,,,,,,,,,,,,,,,,,
Minitortas,,,,Guantes ,0,,3,,,,,,,,,,,,,,,,,,
Nutella,,2,3,Portaconos,HAY,,,,,,,,,,,,,,,,,,,,
Dulccina,,4,1,Cucharita sundae,HAY,,,,,,,,,,,,,,,,,,,,
Cheescake DL/ Oreo,,3,2,Folex,HAY,,,,,,,,,,,,,,,,,,,,
Cajas mini torta,,,,Serivilleta blancas,HAY,,,,,,,,,,,,,,,,,,,,
Cuadrados:,,,,Servilleta Beige Tello ,HAY,,,,,,,,,,,,,,,,,,,,
Brownie,,7,,Vaso c/ Logo 120 cc,HAY,,,,,,,,,,,,,,,,,,,,
Coco,,7,,Vaso c/ Logo 360cc,HAY,,,,,,,,,,,,,,,,,,,,
Pastafrola,,6,1,Vaso plast.milk shake,HAY,,,,,,,,,,,,,,,,,,,,
Postre envasado:,,,,SORBETES,HAY,,,,,,,,,,,,,,,,,,,,
Tiramissu,,4,,,,,,,,,,,,,,,,,,,,,,,
brownie con frutos rojos,,4,,,,,,,,,,,,,,,,,,,,,,,
