Suc 24 de Septiembre,,,,15/9/2025,,,,Encargado:,,,,,,,,,,,,,,,,,
,pozo,salon,mandar,,Hay,,Mandar,,,,,,,,,,,,,,,,,,
TORTA BROWNIE, ,1/4,1/2,2/2,,,2,Almendra confitada x100, ,,,,,,,,,,,,,,,,
VAINILLA, ,1 1/2,1,1,,,MANDAR,Almendra confitada x250,,,,,,,,,,,,,,,,,
VAINILLA GRANIZADA,,0,1/4,2/4,,,MANDAR,,,,,,,,,,,,,,,,,,
YOGUR GRIEGO,,-1/4,1/4,2/4,HAY,,,Tabletas de chocolate,, ,,,,,,,,,,,,,,,
ICE POP (PALETAS), ,,,,6,,,Marroc,, ,,,,,,,,,,,,,,,
Chocolatin ,,,2,2,,,MANDAR,Oreo,1,,,,,,,,,,,,,,,,
Diamont,,0,6,6,4,,,Frutos secos,0,,,,,,,,,,,,,,,,
Corazon,,1,1,1,,,,Rocklets,3,,,,,,,,,,,,,,,,
Pata,,1,1,1, ,,,Dubai,2,,,,,,,,,,,,,,,,
Vaca Aurora,,5,,,2,,1,,,,,,,,,,,,,,,,,,
Chancho,,3,,,2,,1,Utiles,,,,,,,,,,,,,,,,,
Hello Kitty,,2,3,3,HAY,,,Lapiceras,HAY,,,,,,,,,,,,,,,,
Tango,,3,3,3,4,,,Felpón,HAY,,,,,,,,,,,,,,,,
Dona flan,,3,,,,,,Broches n°21/6,2,2,,,,,,,,,,,,,,,
Clasica,,4,,,1,,1,,,,,,,,,,,,,,,,,,
Dubai,,0,6,6,1,,,Liquido corrector,HAY, ,,,,,,,,,,,,,,,
Caja para paleta,,HAY,20,Bolsa gde. c/logo (plast. torta redonda),3,,,Remito devolución mercaderia, ,,,,,,,,,,,,,,,,
Minitortas,, ,,Bolsa rectang. c/logo (plast. torta rectang.),2,,,Sobres,,MANDAR,,,,,,,,,,,,,,,
Nutella, ,2,,Delivery (papel s/manija),1,,,Gomillas,,MANDAR,,,,,,,,,,,,,,,
Dulccina, ,1,,,,,,Cinta transparente,3, ,,,,,,,,,,,,,,,
Cheescake DL/ Oreo,,2,,,,,,Cinta tello,3,,,,,,,,,,,,,,,,
Cajas mini torta, , ,,,,,,,,,,,,,,,,,,,,,,,
Cuadrados:,,,, ,,,,,,,,,,,,,,,,,,,,,
Brownie, ,1,2,,,,,,,,,,,,,,,,,,,,,,
Coco, ,1,2,,,,,,,,,,,,,,,,,,,,,,
Pastafrola, ,3,,,,,,,,,,,,,,,,,,,,,,,
Postre envasado:,,,,,,,,,,,,,,,,,,,,,,,,,
Tiramissu, ,,2,,,,,,,,,,,,,,,,,,,,,,
brownie con frutos rojos, ,2,,,,,,,,,,,,,,,,,,,,,,,
