Suc 24 de Septiembre,,,,15/9/2025,,,,Encargado:,,,,,,,,,,,,,,,,,
,pozo,salon,mandar,,Hay,,Mandar,,,,,,,,,,,,,,,,,,
,,,,Tacita diet:,,,,Guantes , ,MANDAR,,,,,,,,,,,,,,,
ALMENDRADO,,1/4,,Anana,1,,,Portaconos,HAY,,,,,,,,,,,,,,,,
AMERICANA,,2,,,1,,,Cucharita sundae,0,1,,,,,,,,,,,,,,, /
ANANA,,3/4,,,,,1,Folex,HAY,,,,,,,,,,,,,,,,
ARANDANOS Y CASSIS,,1 1/4,1,1, ,,1,Servilleta Blancas,,MANDAR,,,,,,,,,,,,,,,
BANANA SPLIT,,3/4,1,1,,,1,Servilleta Beige Tello,,,,,,,,,,,,,,,,,
BANANINA,,1/4,,,1,,,Vaso c/ Logo 120 cc,0,1,,,,,,,,,,,,,,,
BOMBON ROCHER,,1 1/2,1,1, ,,,Vaso c/ Logo 360cc,1,2,,,,,,,,,,,,,,,
CAYOTE CON NUEZ,,-1/4,1/4,2/4,Entera,Porcion,Mandar,Vaso plast.milk shake,8, ,,,,,,,,,,,,,,,
CEREZA,,1 1/2,,,3,,,Sorbetes,HAY, ,,,,,,,,,,,,,,,
COCOLECHE,,1/2,,,3,,,Moños por paquete,HAY,,,,,,,,,,,,,,,,
CREMA BISCUIT,,1 1/2,,,2,,,Velas,HAY,,,,,,,,,,,,,,,,
CREMA DE CAFÉ,,1/4,,,3, ,,Bandeja chica,HAY,,,,,,,,,,,,,,,,
CREMA DE HIGO CON NUEZ,,1/2,,,3,,,Bandeja grande,HAY,,,,,,,,,,,,,,,,
CREMA DEL CIELO,,1/4,,,2,,1,Helafim 1/4 kg,4,,,,,,,,,,,,,,,,
CREMA DON PEDRO,,1/4,,,2,,1,Helafim 1/2 kg,2,,,,,,,,,,,,,,,,
CREMA FLAN,,1/2,,,3,,,Helafim 1 kg,2,,,,,,,,,,,,,,,,
CREMA RUSA,,0,1/4,2/4,3, ,,Cinta con Logo Tello,3,,,,,,,,,,,,,,,,
CHOCOLATE,,1 1/2,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE A LA CUBANA,,1/2,,,,,,Cajas:, , , ,,,,,,,,,,,,,,
CHOCOLATE AMARGO,,1/2,,,1, ,,Tartas,64,10,, , ,,,,,,,,,,,,
CHOCOLATE BLANCO,,1/2,,,,,,Tortas Medianas,10,, , ,,,,,,,,,,,,,
CHOCOLATE CON ALM.,,1 1/4,1,1,1,,,Tortas Grandes,11, , ,,,,,,,,,,,,,,
CHOCOLATE CON CEREZAS,,0,1/4,2/4,,,,Blondas,,, ,,,,,,,,,,,,,,
CHOCOLATE DUBAI,,0,X2,X3,1,,,,,, ,,,,,,,,,,,,,,
CHOCOLATE SUIZO,,1 1/2,1,1,,,1,Para Postre:,,,,,,,,,,,,,,,,, 
CHOCOTORTA,,1/2,,,,,,Mini Tarta Manzana,0,2,,,,,,,,,,,,,,,
DELICIA TELLO,,2,,,,,,Cookie Americana,1,,,,,,,,,,,,,,,,
DOLCCINO,,1 1/2,,,6,,2,Topping Arandanos ,HAY,,,,,,,,,,,,,,,,
DULCE DE LECHE,,1,1,1,7,,,Plancha brownie,4,,,,,,,,,,,,,,,,
DULCE DE LECHE BOMBON,,2,,,13,,5,Volcan,1,4,,,,,,,,,,,,,,,
DULCE DE LECHE CON NUEZ,,1 1/4,1,1,5,,3,Sopa inglesa,0,1,,,,,,,,,,,,,,,
DULCE DE LECHE GRANIZADO,,11/2,1,1,2,,,Hojaldre,0,4,,,,,,,,,,,,,,,
DULCE DE LECHE TENTACION,,1 1/2,,,2,,,Pera disecada,1,,,,,,,,,,,,,,,,
DURAZNO AL AGUA,,1/4,,,7, ,2,Manzana disecada,,,,,,,,,,,,,,,,,
FRUTILLA A LA CREMA,,11/4,1,1,7,,2,,,,,,,,,,,,,,,,,,
FRUTILLA AL AGUA,,3/4,,,,,,Crema de leche,MANDAR,,,,,,,,,,,,,,,,
FRUTOS DEL BOSQUE,,1,,,,,,Dulce de leche familiar,2, ,,,,,,,,,,,,,,,
GRANIZADO,,2,,,,,,Ensaladas fruta (lata),2,,,,,,,,,,,,,,,,
KINDOVO,,1/4,1/2,2/2,3,,,Peras (lata),1,,,,,,,,,,,,,,,,
KINOTOS AL WHISKY,,1/4,,,3,,,Ganache blanca,hay,,,,,,,,,,,,,,,,
LIMON,,1,,,3,,,Alcohol liquido,HAY,,,,,,,,,,,,,,,,
LEMON PIE,,0,1/2,2/2,3,,,Alcohol en Gel,,,,,,,,,,,,,,,,,
MANGO,,1/2,,,HAY,,,Cuchara media bola,,,,,,,,,,,,,,,,,
MANTECOL,,-1/4,1/2,2/2,,,,Espatula chata,,,,,,,,,,,,,,,,,
MANZANAS AL OPORTO,,0,1/4,2/4,,,,Cornet,,,,,,,,,,,,,,,,,/
MARACUYA,,0,1/2,2/2,HAY,,,,,,,,,,,,,,,,,,,,/
MARROC,,-1/4,1/4,2/4,HAY,,,Rollos p/imp. fiscal,,,,,,,,,,,,,,,,,
MENTA GRANIZADA,,-1/4,1/4,2/4,HAY,,,Rollo Posnet,,,,,,,,,,,,,,,,,
PANACOTTA,,1,1,1,HAY,,,,,,,,,,,,,,,,,,,,
PISTACCHIO,,,X2,X3,,,MANDAR,Chocolates,,,,,,,,,,,,,,,,,
SAMBAYON,,1/4,1,1,HAY,,MANDAR,Almendra baña x 100,1,1,,,,,,,,,,,,,,,
TIRAMISU,,1/4,,,,,MANDAR,Almendra baña x 250,2, ,,,,,,,,,,,,,,,
