Suc 24 de Septiembre,,,,10/9/2025,,,,Encargado:,,,,,,,,,,,,,,,,,
,pozo,salon,mandar,,Hay,,Mandar,,,,,,,,,,,,,,,,,,
,,,,Tacita diet:,,,,Guantes , ,MANDAR,,,,,,,,,,,,,,,
ALMENDRADO,,1/4, ,Anana,1,,,Portaconos,HAY, ,,,,,,,,,,,,,,,
AMERICANA,,1 1/2,,Durazno,2,,,Cucharita sundae,1, ,,,,,,,,,,,,,,, /
ANANA,,0,1/2,Americana,1,,,Folex,HAY,,,,,,,,,,,,,,,,
ARANDANOS Y CASSIS,,1, ,Banana, ,,,Servilleta Blancas,,MANDAR,,,,,,,,,,,,,,,
BANANA SPLIT,,1 1/4,1,Dulce de Leche,2,,,Servilleta Beige Tello,,,,,,,,,,,,,,,,,
BANANINA,,1/4,,Vainilla,1,,,Vaso c/ Logo 120 cc,2, ,,,,,,,,,,,,,,,
BOMBON ROCHER,,1,1,, ,,,Vaso c/ Logo 360cc,2, ,,,,,,,,,,,,,,,
CAYOTE CON NUEZ,,-1/4,1/4,Tortas Heladas:,Entera,Porcion,Mandar,Vaso plast.milk shake,12, ,,,,,,,,,,,,,,,
CEREZA,,1 1/2,,Omelette,2,, ,Sorbetes,HAY, ,,,,,,,,,,,,,,,
COCOLECHE,,-1/4,,Clasica am/choc,3,, ,Moños por paquete,HAY,,,,,,,,,,,,,,,,
CREMA BISCUIT,,1,,Clasica vai/ dl,1,, ,Velas,HAY,,,,,,,,,,,,,,,,
CREMA DE CAFÉ,,-1/4,1/4,Bombon ,3, ,,Bandeja chica,HAY,,,,,,,,,,,,,,,,
CREMA DE HIGO CON NUEZ,,1/4,,Primavera,3,,,Bandeja grande,HAY,,,,,,,,,,,,,,,,
CREMA DEL CIELO,,0,1/4,Del Americana,3,,,Helafim 1/4 kg,4,,,,,,,,,,,,,,,,
CREMA DON PEDRO,,-1/4,1/4,Del Dulce d leche,3,,,Helafim 1/2 kg,2,,,,,,,,,,,,,,,,
CREMA FLAN,,0,1/2,Verona,3,, ,Helafim 1 kg,2,,,,,,,,,,,,,,,,
CREMA RUSA,,1/4,,Chocooreo,3, ,,Cinta con Logo Tello,3,,,,,,,,,,,,,,,,
CHOCOLATE,,1, ,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE A LA CUBANA,,1/4,,Tortas:,,,,Cajas:, , , ,,,,,,,,,,,,,,
CHOCOLATE AMARGO,,1/2,,Bomba,, ,2,Tartas,93,,, , ,,,,,,,,,,,,
CHOCOLATE BLANCO,,1/2,,Chaja,,,,Tortas Medianas,12, , , ,,,,,,,,,,,,,
CHOCOLATE CON ALM.,,1 3/4,,Imperial,,,2,Tortas Grandes,11, , ,,,,,,,,,,,,,,
CHOCOLATE CON CEREZAS,,-1/4,1/4,Maria Luisa,,,,Blondas,,MANDAR, ,,,,,,,,,,,,,,
CHOCOLATE DUBAI,,0,X2,SELVA NEGRA,1,,,,,, ,,,,,,,,,,,,,,
CHOCOLATE SUIZO,,1,1,Tropical, ,,1,Para Postre:,,,,,,,,,,,,,,,,, 
CHOCOTORTA,,0,1/2,,,,,Mini Tarta Manzana,2,,,,,,,,,,,,,,,,
DELICIA TELLO,,1 1/4,1,Tartas:,,,,Cookie Americana,1,,,,,,,,,,,,,,,,
DOLCCINO,,1,,Brownie,5,,3,Topping Arandanos ,HAY,,,,,,,,,,,,,,,,
DULCE DE LECHE,,1 1/4,1,Cabsha,8,,,Plancha brownie,4,1,,,,,,,,,,,,,,,
DULCE DE LECHE BOMBON,,1/2,1,Higo,15,,5,Volcan,4,1,,,,,,,,,,,,,,,
DULCE DE LECHE CON NUEZ,,1 1/2,,Imperial,8,,3,Sopa inglesa,1,,,,,,,,,,,,,,,,
DULCE DE LECHE GRANIZADO,,1 1/4,1,lemon  pie ,1,,1,Hojaldre,4,,,,,,,,,,,,,,,,
DULCE DE LECHE TENTACION,,2,,Maracuya,2,, ,Pera disecada,,,,,,,,,,,,,,,,,
DURAZNO AL AGUA,,1/4,,Mousse,4, ,6,Manzana disecada,,,,,,,,,,,,,,,,,
FRUTILLA A LA CREMA,,1 1/4,1,Rocher,6,,,,,,,,,,,,,,,,,,,,
FRUTILLA AL AGUA,,1/4,,Cheescake,,,4,Crema de leche,HAY,,,,,,,,,,,,,,,,
FRUTOS DEL BOSQUE,,1,,,,,,Dulce de leche familiar,3, ,,,,,,,,,,,,,,,
GRANIZADO,,1 1/4,,Salsas:,,,,Ensaladas fruta (lata),2, ,,,,,,,,,,,,,,,
KINDOVO,,-1/2,,Caramelo,2,,,Peras (lata),2,,,,,,,,,,,,,,,,
KINOTOS AL WHISKY,,-1/4,1/4,Chocolate,2,,,Ganache blanca,hay,,,,,,,,,,,,,,,,
LIMON,,3/4,,Dulce de Leche,2,, ,Alcohol liquido,HAY,,,,,,,,,,,,,,,,
LEMON PIE,,1/2,,Frutilla,2,,,Alcohol en Gel,,,,,,,,,,,,,,,,,
MANGO,,1/4,1/2,Sirope p/ Affogato,HAY,, ,Cuchara media bola,,,,,,,,,,,,,,,,,
MANTECOL,,3/4,,,,,,Espatula chata,,,,,,,,,,,,,,,,,
MANZANAS AL OPORTO,,-1/4,1/4,Agregados:,,,,Cornet,,,,,,,,,,,,,,,,,/
MARACUYA,,1/4,1/2,Azucar,HAY,,,,,,,,,,,,,,,,,,,,/
MARROC,,1,1/4,Baño de choco,HAY,, ,Rollos p/imp. fiscal,,,,,,,,,,,,,,,,,
MENTA GRANIZADA,,1/4,,Logo Tello,HAY,, ,Rollo Posnet,,,,,,,,,,,,,,,,,
