Sucursal: CATAMARCA;;;FECHA;18/08/25;;;;Encargado:;;;;;;;;;;;;;;;;;
;POZO;SALON;MANDAR;;HAY;;MANDAR;;HAY;MANDAR;;;;;;;;;;;;;;;
ICE POP (PALETAS);;;;Pa�uelos p/copas;;1;;Caja Bom. Tello Med (7 u);;;;;;;;;;;;;;;;;
Clasica;;10;;Leche descremada;7;;3;Caja Bom.Tello Gde (12 u);;;;;;;;;;;;;;;;;
Tango;;10;;Bombones p/ caf�;0;;100;;;;;;;;;;;;;;;;;;
Corazon;;6;;Chocolate p/ submarino;3;;2;Utiles;;;;;;;;;;;;;;;;;
Carita;;6;;;;;;Lapiceras;;;;;;;;;;;;;;;;;
Pata;;3;3;BOLSAS;;;;Felpón;;;;;;;;;;;;;;;;;
Torta;;5;1;Bolsa consorcio;4;;1;Broches n°21/6;;;;;;;;;;;;;;;;;
Chancho;;5;1;Bolsa residuos;3;;2;Liquido corrector;;;;;;;;;;;;;;;;;
Cristal;;10;;Bolsa camiseta;1;;;Remito devolución mercaderia;;;;;;;;;;;;;;;;;
chocolatin;;8;2;bolsa p/conito;4;;;SOBRES;;;;;;;;;;;;;;;;;
Vaca Aurora;;5;1;Bolsa chica c/logo (papel);100;;50;Gomillas ;;;;;;;;;;;;;;;;;
Dona Banana Split;;5;1;Bolsa gde. c/logo (papel);;;;Cinta transparente;;;;;;;;;;;;;;;;;
Dona flan;;2;4;Bolsa gde. c/logo (plast. torta redonda);;;;;;;;;;;;;;;;;;;;;
Hello Kitty;;4;2;Bolsa rectang. c/logo (plast. torta rectang.);;;;;;;;;;;;;;;;;;;;;
Dubai;;5;5;Delivery (papel s/manija);;;;;;;;;;;;;;;;;;;;;
Caja para paleta;;HAY;;;;;;;;;;;;;;;;;;;;;;;
Minitortas;;;;Guantes ;;;;;;;;;;;;;;;;;;;;;
Nutella;;4;1;Portaconos;;;;;;;;;;;;;;;;;;;;;
Dulccina;;5;;Cucharita sundae;;;;;;;;;;;;;;;;;;;;;
Cheescake DL/ Oreo;;0;5;Folex;;;;;;;;;;;;;;;;;;;;;
Cajas mini torta;;HAY;;Serivilleta blancas;;;;;;;;;;;;;;;;;;;;;
Cuadrados:;;;;Servilleta Beige Tello ;;;;;;;;;;;;;;;;;;;;;
Brownie;;0;7;Vaso c/ Logo 120 cc;;;;;;;;;;;;;;;;;;;;;
Coco;;3;4;Vaso c/ Logo 360cc;;;;;;;;;;;;;;;;;;;;;
Pastafrola;;5;2;Vaso plast.milk shake;;;;;;;;;;;;;;;;;;;;;
Postre envasado:;;;;SORBETES;;;;;;;;;;;;;;;;;;;;;
Tiramissu;;3;;;;;;;;;;;;;;;;;;;;;;;
brownie con frutos rojos;;2;1;;;;;;;;;;;;;;;;;;;;;;
MANDAR CAPUCHINO;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
