Sucursal: YERBA BUENA,,,Fecha:,15/09/2025,,,, Encargado: , ,,,,,,,,,,,,,,,,
,pozo,salon,mandar,,Hay,,Mandar,,Hay,Mandar,,,,,,,,,,,,,,,
ALMENDRADO,,1/4,1/4,TACITAS DIET:,,,,Bolsas:,, ,,,,,,,,,,,,,,,
AMERICANA,,1+1/2,,Anana,1,,2,Bolsa consorcio,3,,,,,,,,,,,,,,,,
ANANA,,1/2,,Durazno,2,,1,Bolsa residuos,4,,,,,,,,,,,,,,,, /
ARANDANOS Y CASSIS,1,1,,Americana,3,,,Bolsa camiseta,HAY, ,,,,,,,,,,,,,,,
BANANA SPLIT,,1+1/2,,Banana,2,,1,Bolsa p/conito,6,,,,,,,,,,,,,,,,
BANANINA,,1/4,,Dulce de Leche,1,,2,Bolsa chica c/logo (papel),1,3,,,,,,,,,,,,,,,
BOMBON ROCHER,1,1/4,1,Vainilla,2,,1,Bolsa gde. c/logo (papel),1, ,,,,,,,,,,,,,,, 
CAYOTE CON NUEZ,,1/4,1/4,, ,,,Bolsa gde. c/logo (plast. torta redonda),3, ,,,,,,,,,,,,,,,
CEREZA,1,1+1/4,,Tortas Heladas:,VITRINA,POZO,MANDAR,Bolsa rectang. c/logo (plast. torta rectang.),2, ,,,,,,,,,,,,,,,/
COCOLECHE,,1/4,,Omelette,2,1,1,Delivery (papel s/manija),HAY,,,,,,,,,,,,,,,,
CREMA BISCUIT,,1,1,Clasica Am/ Choc.,2,,,, , ,,,,,,,,,,,,,,,
CREMA DE CAFÉ,,1/4,1/4,Clasica Vai/ DL,2,,,Guantes,1,2,,,,,,,,,,,,,,,
CREMA DE HIGO CON NUEZ,,1/4,1/4,Bombon,2,,,Portaconos,HAY,,,,,,,,,,,,,,,,
CREMA DEL CIELO,,1/4,1/4,Primavera,2,2,,Cucharita sundae,1,1,,,,,,,,,,,,,,,
CREMA DON PEDRO,,1/4,,Del. De Amer.,1,,1,Folex,HAY,  ,,,,,,,,,,,,,,,
CREMA FLAN,,1/2,1/2,Del. De D. de L,2,,,Servilleta Blancas,1,,,,,,,,,,,,,,,,
CREMA RUSA,,1/4,,Verona,1,,1,Servilleta Beige Tello,HAY,,,,,,,,,,,,,,,,
CHOCOLATE,1,3/4,,Chocooreo,1,1,,Vaso c/ Logo 120 cc,2,,,,,,,,,,,,,,,,
CHOCOLATE A LA CUBANA,1/4,1/4,,,,,,Vaso c/ Logo 360cc,2,,,,,,,,,,,,,,,,
CHOCOLATE AMARGO,,0,2,Tortas:,,,,Vaso plast. milk shake,HAY,   ,,,,,,,,,,,,,,,
CHOCOLATE BLANCO,,1/4,1/2,Bomba,1,,,Sorbetes,HAY,,,,,,,,,,,,,,,,
CHOCOLATE CON ALM.,,1+1/4,1,Chaja,1,,,Moños x paquete,,MANDAR,,,,,,,,,,,,,,,
CHOCOLATE CON CEREZAS,,-1/4,1/4,Imperial,0,,1,Velas,,MANDAR,,,,,,,,,,,,,,,
CHOCOLATE DUBAI,,0,3,Maria luisa,0,,1,Bandeja chica,HAY,,,,,,,,,,,,,,,,/
CHOCOLATE SUIZO,,1,1,Selva negra,1,,,Bandeja grande,HAY, ,,,,,,,,,,,,,,,
CHOCOTORTA,,1,,Tropical,1,,,Helafiilm 1/4 kg,2, ,,,,,,,,,,,,,,,
DELICIA TELLO,,1+1/4,1,,,,,Helafilm 1/2 kg,2,  ,,,,,,,,,,,,,,,
DOLCCINO,,1,1,Tartas:,,,,Helafilm 1kg,2, ,,,,,,,,,,,,,,,
DULCE DE LECHE,,1+1/2,1,Brownie,2,8,,Cinta con Logo Tello,5,,,,,,,,,,,,,,,,/
DULCE DE LECHE BOMBON,,1+1/2,,Cabsha,2,8,,, , ,,,,,,,,,,,,,,,
DULCE DE LECHE C/NUEZ,,3/4,1,Higo,2,12,3,Cajas:, , ,,,,,,,,,,,,,,,
DULCE DE LECHE GRA.,,1/2,2,Imperial,3,5,2,Tartas,60,15,,,,,,,,,,,,,,, 
DULCE DE LECHE TENTAC.,,1+1/4,,Lemon Pie,1,,1,Tortas Medianas,25,,,,,,,,,,,,,,,,
DURAZNO AL AGUA,,1/4,,Maracuya,2,,,Tortas Grandes,25,,,,,,,,,,,,,,,,
FRUTILLA A LA CREMA,,1+1/2,1,Mousse,2,6,2,Blondas,HAY,,,,,,,,,,,,,,,,
FRUTILLA AL AGUA,,1/2,,Rocher,2,5,3,,, ,,,,,,,,,,,,,,,
FRUTOS DEL BOSQUE,,1+1/4,1,Cheescake,1,,,Para Postre:, ,  ,,,,,,,,,,,,,,,
GRANIZADO,,1+1/4,1,,,,,Mini tarta manzana,1,2,,,,,,,,,,,,,,,
KINDOVO,,0,1/2,Salsas:,,,,Cookie Americana,3, ,,,,,,,,,,,,,,,
KINOTOS AL WHISKY,,1/2,,Caramelo,2,,,Topping Arandanos,HAY,,,,,,,,,,,,,,,,
LIMON,,1+1/4,1,Chocolate,2,,,Plancha brownie,HAY,,,,,,,,,,,,,,,,
LEMON PIE,,3/4,,Dulce de Leche,2,,,Volcan,10,,,,,,,,,,,,,,,,
MANGO,,1/2,,Frutilla,2,,,sopa inglesa,2,,,,,,,,,,,,,,,,
MANTECOL,,3/4,,Sirope para Affogato,HAY,, ,Hojaldre,HAY,,,,,,,,,,,,,,,,
MANZANAS AL OPORTO,,1/2,,,,,,Pera disecada,HAY, ,,,,,,,,,,,,,,,
MARACUYA,,1/4,1/2,Agregados:,,,,Manzana disecada,HAY, ,,,,,,,,,,,,,,,  
MARROC,,1/2,,Azucar,HAY,,,, , ,,,,,,,,,,,,,,,/
MENTA GRANIZADA,,1/4,,Baño de chocolate,1/2,,1,Crema de leche,1/4,,,,,,,,,,,,,,,,
PANACOTTA,,1+1/4,1,Logo Tello,HAY,,,Dulce de leche familiar,1,1,,,,,,,,,,,,,,,
PISTACCHIO,1/2,1/2,,Cerezas (lata),1,,,Ensaladas fruta (lata),2,,,,,,,,,,,,,,,,
SAMBAYON,,1/2,1,Chispas de Choc.,HAY,,,Peras (lata),2,,,,,,,,,,,,,,,,
TIRAMISU,,1/4,1/4,Kinotos (lata),HAY,,,Ganache blanca,1/4,,,,,,,,,,,,,,,, 
TORTA BROWNIE,,3/4,,Lajas,,,MANDAR,Alcohol Liquido,1,,,,,,,,,,,,,,,,
VAINILLA,1,3/4,,Merenguitos,4,,,Alcohol en Gel,, ,,,,,,,,,,,,,,,
VAINILLA GRANIZADA,,1/4,,Nueces,,,MANDAR,Cuchara media bola,, ,,,,,,,,,,,,,,,
YOGURT GRIEGO,,1/4,,Rocklets,,,MANDAR,Espatula chata,, ,,,,,,,,,,,,,,,
ICE POP (PALETAS),,,,Pañuelos p/ copas,HAY,,,Cornet,,  ,,,,,,,,,,,,,,,
Clasica,,5,5,Leche Descre.,13,,2,,,,,,,,,,,,,,,,,,
Tango,,2,8,Bombones p/café,0,,100,Rollos p/impresora fiscal,HAY,,,,,,,,,,,,,,,,
Corazon,,5,2,,,,,Rollo p/posnet,HAY,,,,,,,,,,,,,,,,
Carita,,6,1,Queso untable,4,,4,, , ,,,,,,,,,,,,,,,
Pata,,1,6,Te clasico,1,,,, ,  ,,,,,,,,,,,,,,,
Torta,,7,,Te de boldo,1,,,Almendras baña x100,1,4,,,,,,,,,,,,,,,
Chancho,,6,1,Te de manzanilla,1,,,Almendra baña x 250,4,1,,,,,,,,,,,,,,,
Cristal,,7,3,Te de frutilla,1,,,,  , ,,,,,,,,,,,,,,,
Chocolatin,,10,,Te de limón,1,,,Tabletas de chocolate,7,3,,,,,,,,,,555,,,,,
Vaca Aurora ,,5,2,Te de hierbas,1,,,Marroc,, ,,,,,,,,,,,,,,,
Dona Banana Split,,8,,Mate cocido,1,,,Oreo,, ,,,,,,,,,,,,,,,
Dona Flan,,6,1,Café bolsa x 1 kg,8KG,,,Frutos secos,, ,,,,,,,,,,,,,,,
Hello Kitty,,5,2,Azucar x caja,2,,,Rocklets,, ,,,,,,,,,,,,,,,
Dubai,,5,2,Edulcorante x caja,2,,,Dubai,5,5,,,,,,,,,,,,,,,
Caja para paleta,,HAY,,Chocolate submarino,7,,,, , ,,,,,,,,,,,,,,,
