Sucursal: YERBA BUENA,,,Fecha:,10/09/2025,,,, Encargado: JUANI, ,,,,,,,,,,,,,,,,
,pozo,salon,mandar,,Hay,,Mandar,,Hay,Mandar,,,,,,,,,,,,,,,
ALMENDRADO,,2,,TACITAS DIET:,,,,Bolsas:, , ,,,,,,,,,,,,,,,
AMERICANA,1,1,,Anana,3,,,Bolsa consorcio,1,2,,,,,,,,,,,,,,,
ANANA,,1/2,,Durazno,2,,,Bolsa residuos,1,2,,,,,,,,,,,,,,, /
ARANDANOS Y CASSIS,,1 1/4,,Americana,3,,,Bolsa camiseta,HAY, ,,,,,,,,,,,,,,,
BANANA SPLIT,,1 1/2,,Banana,2,,,Bolsa p/conito,3,,,,,,,,,,,,,,,,
BANANINA,,-,1,Dulce de Leche,3,,,Bolsa chica c/logo (papel),5,,,,,,,,,,,,,,,,
BOMBON ROCHER,,1/2,1,Vainilla,3,,,Bolsa gde. c/logo (papel),1, ,,,,,,,,,,,,,,, 
CAYOTE CON NUEZ,,2,,, ,,,Bolsa gde. c/logo (plast. torta redonda),3, ,,,,,,,,,,,,,,,
CEREZA,,1/2,1,Tortas Heladas:,VITRINA,POZO,MANDAR,Bolsa rectang. c/logo (plast. torta rectang.),2, ,,,,,,,,,,,,,,,/
COCOLECHE,,1/4,,Omelette,4,,,Delivery (papel s/manija),HAY,,,,,,,,,,,,,,,,
CREMA BISCUIT,,1,,Clasica Am/ Choc.,2,,,, , ,,,,,,,,,,,,,,,
CREMA DE CAFÉ,,1/4,,Clasica Vai/ DL,2,,,Guantes,0,3,,,,,,,,,,,,,,,
CREMA DE HIGO CON NUEZ,,1/4,1,Bombon,2,,,Portaconos,HAY,,,,,,,,,,,,,,,,
CREMA DEL CIELO,,1/4,1,Primavera,2,,,Cucharita sundae,1,,,,,,,,,,,,,,,,
CREMA DON PEDRO,,1/4,,Del. De Amer.,2,,,Folex,HAY,  ,,,,,,,,,,,,,,,
CREMA FLAN,,1/4,2,Del. De D. de L,2,,,Servilleta Blancas,1/2,1,,,,,,,,,,,,,,,
CREMA RUSA,,1/2,,Verona,2,,,Servilleta Beige Tello,1/2,1,,,,,,,,,,,,,,,
CHOCOLATE,,1/2,1,Chocooreo,2,,,Vaso c/ Logo 120 cc,2,,,,,,,,,,,,,,,,
CHOCOLATE A LA CUBANA,,1/4,,,,,,Vaso c/ Logo 360cc,-,1,,,,,,,,,,,,,,,
CHOCOLATE AMARGO,,2,,Tortas:,,,,Vaso plast. milk shake,HAY,   ,,,,,,,,,,,,,,,
CHOCOLATE BLANCO,,1 1/4,,Bomba,-,,1,Sorbetes,HAY,,,,,,,,,,,,,,,,
CHOCOLATE CON ALM.,,1 1/4,,Chaja,-,,1,Moños x paquete,HAY, ,,,,,,,,,,,,,,,
CHOCOLATE CON CEREZAS,,2,,Imperial,1,,,Velas,HAY,,,,,,,,,,,,,,,,
CHOCOLATE DUBAI,,1/4,2,Maria luisa,1,,,Bandeja chica,HAY,,,,,,,,,,,,,,,,/
CHOCOLATE SUIZO,,1/2,1,Selva negra,1,,,Bandeja grande,HAY, ,,,,,,,,,,,,,,,
CHOCOTORTA,,2,,Tropical,-,,1,Helafiilm 1/4 kg,2, ,,,,,,,,,,,,,,,
DELICIA TELLO,1,1,,,,,,Helafilm 1/2 kg,2,  ,,,,,,,,,,,,,,,
DOLCCINO,,1/2,1,Tartas:,,,,Helafilm 1kg,2, ,,,,,,,,,,,,,,,
DULCE DE LECHE,,1/2,1,Brownie,5,,5,Cinta con Logo Tello,5,,,,,,,,,,,,,,,,/
DULCE DE LECHE BOMBON,,1,,Cabsha,7,,,, , ,,,,,,,,,,,,,,,
DULCE DE LECHE C/NUEZ,1,1/2,,Higo,14,,2,Cajas:, , ,,,,,,,,,,,,,,,
DULCE DE LECHE GRA.,,1/2,1,Imperial,7,,,Tartas,30,,,,,,,,,,,,,,,, 
DULCE DE LECHE TENTAC.,,1 1/2,,Lemon Pie,2,,,Tortas Medianas,20,,,,,,,,,,,,,,,,
DURAZNO AL AGUA,,1/4,,Maracuya,2,,,Tortas Grandes,20,,,,,,,,,,,,,,,,
FRUTILLA A LA CREMA,1,1/2,,Mousse,8,,2,Blondas,HAY,,,,,,,,,,,,,,,,
FRUTILLA AL AGUA,,1/2,,Rocher,3,,8,,, ,,,,,,,,,,,,,,,
FRUTOS DEL BOSQUE,,1 1/4,,Cheescake,1,,,Para Postre:, ,  ,,,,,,,,,,,,,,,
GRANIZADO,,1,,,,,,Mini tarta manzana,3,,,,,,,,,,,,,,,,
KINDOVO,,1/4,1,Salsas:,,,,Cookie Americana,3, ,,,,,,,,,,,,,,,
KINOTOS AL WHISKY,,1/4,,Caramelo,2,, ,Topping Arandanos,HAY,,,,,,,,,,,,,,,,
LIMON,1,1/2,,Chocolate,2,,,Plancha brownie,10,,,,,,,,,,,,,,,,
LEMON PIE,,1/4,1,Dulce de Leche,2,,,Volcan,10,,,,,,,,,,,,,,,,
MANGO,,1/2,,Frutilla,2,,,sopa inglesa,2,,,,,,,,,,,,,,,,
MANTECOL,,1/4,2,Sirope para Affogato,HAY,, ,Hojaldre,HAY,,,,,,,,,,,,,,,,
MANZANAS AL OPORTO,,2,,,,,,Pera disecada,HAY, ,,,,,,,,,,,,,,,
MARACUYA,,1/4,1,Agregados:,,,,Manzana disecada,HAY, ,,,,,,,,,,,,,,,  
MARROC,,2,,Azucar,1/2,,,, , ,,,,,,,,,,,,,,,/
MENTA GRANIZADA,,1/4,1,Baño de chocolate,1,,,Crema de leche,1/2,,,,,,,,,,,,,,,,
PANACOTTA,,1 1/2,,Logo Tello,HAY,,,Dulce de leche familiar,2,,,,,,,,,,,,,,,,
PISTACCHIO,,1/4,1,Cerezas (lata),1,,,Ensaladas fruta (lata),2,,,,,,,,,,,,,,,,
SAMBAYON,,1,,Chispas de Choc.,HAY,,,Peras (lata),2,,,,,,,,,,,,,,,,
TIRAMISU,,2,,Kinotos (lata),1,,,Ganache blanca,1/4, ,,,,,,,,,,,,,,, 
TORTA BROWNIE,,2,,Lajas,HAY,,,Alcohol Liquido,1,,,,,,,,,,,,,,,,
VAINILLA,,1/2,1,Merenguitos,1,,2,Alcohol en Gel,, ,,,,,,,,,,,,,,,
VAINILLA GRANIZADA,,1/4,,Nueces,1/4,,MANDAR,Cuchara media bola,, ,,,,,,,,,,,,,,,
YOGURT GRIEGO,,2,,Rocklets,1/4,,MANDAR,Espatula chata,, ,,,,,,,,,,,,,,,
ICE POP (PALETAS),,,,Pañuelos p/ copas,HAY,,,Cornet,,  ,,,,,,,,,,,,,,,
Clasica,9,,,Leche Descre.,4,,6,,,,,,,,,,,,,,,,,,
Tango,5,,4,Bombones p/café,0,,100,Rollos p/impresora fiscal,HAY,,,,,,,,,,,,,,,,
Corazon,7,,,,,,,Rollo p/posnet,HAY,,,,,,,,,,,,,,,,
Carita,5,,,Queso untable,4,,,, , ,,,,,,,,,,,,,,,
Pata,4,,,Te clasico,1,,,, ,  ,,,,,,,,,,,,,,,
Torta,6,,,Te de boldo,1,,,Almendras baña x100,4,,,,,,,,,,,,,,,,
Chancho,4,,,Te de manzanilla,1,,,Almendra baña x 250,4,,,,,,,,,,,,,,,,
Cristal,6,,,Te de frutilla,1,,,,  , ,,,,,,,,,,,,,,,
Chocolatin,9,,,Te de limón,1,,,Tabletas de chocolate,,,,,,,,,,,,555,,,,,
Vaca Aurora ,2,,,Te de hierbas,1,,,Marroc,1, ,,,,,,,,,,,,,,,
Dona Banana Split,5,,,Mate cocido,1,,,Oreo,1, ,,,,,,,,,,,,,,,
Dona Flan,7,,,Café bolsa x 1 kg,5K,,,Frutos secos,1, ,,,,,,,,,,,,,,,
Hello Kitty,-,,5,Azucar x caja,2,,,Rocklets,1, ,,,,,,,,,,,,,,,
Dubai,3,,4,Edulcorante x caja,2,,,Dubai,4,3,,,,,,,,,,,,,,,
Caja para paleta,HAY,,,Chocolate submarino,6,,,, , ,,,,,,,,,,,,,,,
MINI TORTAS,,,,Capuccino ,HAY,,,Yogur Vaini. ligth xLts. ,HAY, ,,,,,,,,,,,,,,,
Nutella,3,,,Aguas ,6,, ,Miel,HAY, ,,,,,,,,,,,,,,,
Dulccina,3,,,Aguas saborizadas,12,,,Granola,HAY, ,,,,,,,,,,,,,,,
Cheescake DL/ Oreo,2,,1,Gaseosas ,16,,,Sandwich de j y q,-,MANDAR,,,,,,,,,,,,,,,
Caja mini torta ,HAY,,,,,,,Sandiwch de t y q,1BANDEJA,MANDAR,,,,,,,,,,,,,,,
Frappes:polvo capuccino,1/2,,,,,,,, , ,,,,,,,,,,,,,,,
Vaso frappe,HAY,,,DESCARTABLES:,,,  ,Utiles:, , ,,,,,,,,,,,,,,,
leche entera,4,,,Vaso de cafe chico 180 cc,-,,1,Lapiceras,HAY,,,,,,,,,,,,,,,,
CUADRADOS:,,,,Vaso de cafe grande 240 cc,-,,1,Felpón,HAY,,,,,,,,,,,,,,,,
