Sucursal: YERBA BUENA,,,Fecha:,10/09/2025,,,, Encargado: JUANI, ,,,,,,,,,,,,,,,,
,pozo,salon,mandar,,Hay,,Mandar,,Hay,Mandar,,,,,,,,,,,,,,,
Brownie,3,,2,Removedor de cafe,HAY,,,Broches n°21/6,HAY,,,,,,,,,,,,,,,,
Coco,3,,2,Porta vaso de cafe,HAY,,,Liquido corrector ,HAY, ,,,,,,,,,,,,,,,
Pastafrola,4,,1,Bandeja telgopor ,HAY,,,Remito devolucion mercaderia,HAY, ,,,,,,,,,,,,,,,
POSTRE ENVASADO:,,,,Recipiente p/ dulce,HAY,,,Sobres,,MANDAR,,,,,,,,,,,,,,,
Tiramisu,2,,,,,, ,Gomillas,,MANDAR,,,,,,,,,,,,,,,
Brownie con frutos rojos,2,,,,,,,Cinta transparente,5,,,,,,,,,,,,,,,,
Suspiro limeño,,,,,,,,,,,,,,,,,,,,,,,,,
MANDAR 10MIL DE CAMBIO,,,,,,,,,,,,,,,,,,,,,,,,,
, ,  ,,,  ,, ,,,,,,,,,,,,,,,,,,
,, ,,, ,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,, ,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,
