Sucursal Monteagudo,,,,10/9/2025,,,,,,,,,,,,,,,,,,,,,
,pozo,salon,mandar,,Hay,,Mandar,,Hay,Mandar,,,,,,,,,,,,,,,
,,,,,,,,Moños por paquete,HAY,,,,,,,,,,,,,,,,
ALMENDRADO,,-1/2,,Tacita diet:,,,,Velas,,MANDAR,,,,,,,,,,,,,,,
AMERICANA,,1+1/4,,Anana,3,,,Bandeja chica,HAY,,,,,,,,,,,,,,,,
ANANA,,1/2,,Durazno,3,,,Bandeja grande,HAY,,,,,,,,,,,,,,,,
ARANDANOS Y CASSIS,1,3/4,,Americana,3,,,Helafim 1/4 kg,2,,,,,,,,,,,,,,,,
BANANA SPLIT,,1+1/2,,Banana,3,,,Helafim 1/2 kg,2,,,,,,,,,,,,,,,, /
BANANINA,1/2,-1/4,,Dulce de Leche,2,,1,Helafim 1 kg,2,,,,,,,,,,,,,,,,/
BOMBON ROCHER,1,3/4,,Vainilla,2,,1,Cinta con Logo Tello,5,,,,,,,,,,,,,,,,/
CAYOTE CON NUEZ,,1/2,,,,,,,,,,,,,,,,,,,,,,,
CEREZA,,1,1,Tortas Heladas:,Entera,Porcion,MANDAR,Cajas:,,,,,,,,,,,,,,,,, 
COCOLECHE,,1/4,,Omelette,3,,,Tartas,,,,,,,,,,,,,,,,,
CREMA BISCUIT,,1,1,Clasica Am/ Choc.,3,,,Tortas Medianas,,,,,,,,,,,,,,,,,
CREMA DE CAFÉ,,-1/2,,Clasica Vai/ DL,1,,3,Tortas Grandes,,,,,,,,,,,,,,,,,/
CREMA DE HIGO C/NUEZ,,1/2,,Bombon,3,,,Blondas,,MANDAR,,,,,,,,,,,,,,,
CREMA DEL CIELO,,1/2,,Primavera,3,,,,,,,,,,,,,,,,,,,,/
CREMA DON PEDRO,,1/2,,Del. De Amer.,3,,,Para Postre :,,,,,,,,,,,,,,,,,
CREMA FLAN,,1,,Del. De D. de L,3,,,Mini Tarta Manzana,3,,,,,,,,,,,,,,,,
CREMA RUSA,,1/4,,Verona,3,,,Cookie Americana,4,,,,,,,,,,,,,, ,,
CHOCOLATE,1,3/4,,Chocooreo,3,,,Topping Arandanos ,HAY,,,,,,,,,,,,,, ,,/
CHOCOLATE A LA CUBANA,,-1/2,,,,,,Plancha brownie,9,1,,,,,,,,,,,,,,,
CHOCOLATE AMARGO,,3/4,,Tortas:,,,,Volcan,6,,,,,,,,,,,,,,,,
CHOCOLATE BLANCO,,1/2,,Bomba,1,,,Sopa inglesa,1,,,,,,,,,,,,,,,,
CHOCOLATE CON ALM.,1,1/2,,Chaja,0,,,Hojaldre,HAY,,,,,,,,,,,,,,,,
CHOCOLATE C/CEREZAS,,1/4,1,Imperial,1,,,Pera disecada,HAY,,,,,,,,,,,,,,,,/
CHOCOLATE DUBAI,1,1/4,,Maria Luisa,1,,,Manzana disecada,HAY,,,,,,,,,,,,,,,,
CHOCOLATE SUIZO,,1+1/4,,Selva Negra,1,,,,,,,,,,,,,,,,,,,,
CHOCOTORTA,,3/4,,Tropical,1,,,Crema de leche,1,,,,,,,,,,,,,,,, 
DELICIA TELLO,,1/2,1, ,,,,Dulce de leche familiar,2,,,,,,,,,,,,,,,, 
DOLCCINO,,1+1/2,,Tartas:,,,,Ensaladas fruta (lata),2,,,,,,,,,,,,,,,,
DULCE DE LECHE,1,1+3/4,,Brownie,11,,,Peras (lata),1,,,,,,,,,,,,,,,, 
DULCE DE LECHE BOMBON,,1+3/4,,Cabsha,13,,4,Ganache blanca,1/4,,,,,,,,,,,,,,,,
DULCE DE LECHE C/NUEZ,,1+1/2,,higo,17,,8,Alcohol liquido,HAY,,,,,,,,,,,,,,,,
DULCE DE LECHE GRANI.,1,1+1/2,,Imperial,6,,4,Alcohol en Gel,,,,,,,,,,,,,,,,, /
DULCE DE LECHE TENTAC.,,1+1/2,,Lemon Pie,1,,1,Cuchara media bola,,,,,,,,,,,,,,,,,
DURAZNO AL AGUA,,-1/4,1,Maracuya,2,,,Espatula chata,,MANDAR,,,,,,,,,,,,,,,/
FRUTILLA A LA CREMA,1,1+1/2,,Mousse,11,,5,Cornet,,,,,,,,,,,,,,,,,
FRUTILLA AL AGUA,,1/2,,Rocher,12,,4,,,,,,,,,,,,,,,,,,
FRUTOS DEL BOSQUE,,1+3/4,,Cheescake,1,,,Rollos p/imp. fiscal,HAY,,,,,,,,,,,,,,,,
GRANIZADO,,1+1/2,,,,,,Rollos p/posnet,HAY,,,,,,,,,,,,,,,,
KINDOVO,,1/2,,Salsas:,HAY,,MANDAR,,,,,,,,,,,,,,,,,, 
KINOTOS AL WHISKY,,-1/2,,Caramelo,2,,,Chocolates,,,,,,,,,,,,,,,,, 
LIMON,1,3/4,,Chocolate,1,,1,Almendra baña x 100,4,,,,,,,,,,,,,,,,
LEMON PIE,,3/4,,Dulce de Leche,1,,1,Almendra baña x 250,4,,,,,,,,,,,,,,,,//
MANGO,,3/4,,Frutilla,2,,,Almendra confitada x100,,,,,,,,,,,,,,,,,
MANTECOL,,-1/2,,Sirope p/ Affogato,HAY,,,Almendra confitada x250,,,,,,,,,,,,,,,,, 
MANZANAS AL OPORTO,,1/4,,,,,,,,,,,,,,,,,,,,,,,
MARACUYA,,1,,Agregados:,,,,Tabletas de chocolate,10,,,,,,,,,,,,,,,,
MARROC,,1/4,,Azucar,1/4,,,Marroc,,,,,,,,,,,,,,,,,
MENTA GRANIZADA,,1/2,,Baño de choco,1,,,Oreo,,,,,,,,,,,,,,,,,
PANACOTTA,1,1/2,,Logo Tello,HAY,,,Frutos secos,,,,,,,,,,,,,,,,,/
PISTACCHIO,,1/2,,Cerezas (lata),HAY,,,Rocklets,,,,,,,,,,,,,,,,, 
SAMBAYON,,1+1/4,,Chispas de Choco,1,,,Dubai,5,5,,,,,,,,,,,,,,,/
TIRAMISU,,1/2,,Kinotos (lata),1,,,,,,,,,,,,,,,,,,,,
TORTA BROWNIE,,1/2,,Lajas,HAY,,,Utiles,,,,,,,,,,,,,,,/,, 
VAINILLA,1,1+1/4,,Merenguitos,2,,,Lapiceras,,,,,,,,,,,,,,,,,
VAINILLA GRANIZADA,,1/4,,Nueces,HAY,,,Felpón,,,,,,,,,,,,,,,/,,
YOGURT GRIEGO,,1/4,,Rocklets,HAY,,,Broches n°21/6,,,,,,,,,,,,,,,,,
ICE POP (PALETAS),,,,Pañuelos p/copas,HAY,,,Liquido corrector,,,,,,,,,,,,,,,,,
Clasica,7,,3,Leche descremada,7,,3,Remito devolución mercaderia,,,,,,,,,,,,,,,,,/
Tango ,7,,3,Bombones p/ café,0,,MANDAR,Sobres,,,,,,,,,,,,,,,,,
Corazon ,6,,,Choc. para submarino,9,,,Gomillas,,,,,,,,,,,,,,,,,
Carita,5,,1, ,,,,Cinta transparente,4,,,,,,,,,,,,,,,,
