Sucursal: YERBA BUENA,,,Fecha:,14/09/2025,,,, Encargado: , ,,,,,,,,,,,,,,,,
,pozo,salon,mandar,,Hay,,Mandar,,Hay,Mandar,,,,,,,,,,,,,,,
VAINILLA,,1,1,Merenguitos,5,,,Alcohol en Gel,, ,,,,,,,,,,,,,,,
VAINILLA GRANIZADA,,1/2,,Nueces,,,MANDAR,Cuchara media bola,, ,,,,,,,,,,,,,,,
YOGURT GRIEGO,,-1/4,1/4,Rocklets,HAY,,,Espatula chata,, ,,,,,,,,,,,,,,,
ICE POP (PALETAS),,,,Pañuelos p/ copas,HAY,,,Cornet,,  ,,,,,,,,,,,,,,,
Clasica,,7,3,Leche Descre.,12,,3,,,,,,,,,,,,,,,,,,
Tango,,7,,Bombones p/café,0,,100,Rollos p/impresora fiscal,HAY,,,,,,,,,,,,,,,,
Corazon,,5,2,,,,,Rollo p/posnet,HAY,,,,,,,,,,,,,,,,
Carita,,6,1,Queso untable,4,,4,, , ,,,,,,,,,,,,,,,
Pata,,4,3,Te clasico,1,,,, ,  ,,,,,,,,,,,,,,,
Torta,,5,2,Te de boldo,1,,,Almendras baña x100,4,1,,,,,,,,,,,,,,,
Chancho,,3,4,Te de manzanilla,1,,,Almendra baña x 250,2,3,,,,,,,,,,,,,,,
Cristal,,4,6,Te de frutilla,1,,,,  , ,,,,,,,,,,,,,,,
Chocolatin,,5,5,Te de limón,1,,,Tabletas de chocolate,7,3,,,,,,,,,,555,,,,,
Vaca Aurora ,,0,7,Te de hierbas,1,,,Marroc,, ,,,,,,,,,,,,,,,
Dona Banana Split,,4,3,Mate cocido,1,,,Oreo,, ,,,,,,,,,,,,,,,
Dona Flan,,4,3,Café bolsa x 1 kg,9KG,,,Frutos secos,, ,,,,,,,,,,,,,,,
Hello Kitty,,2,5,Azucar x caja,2,,,Rocklets,, ,,,,,,,,,,,,,,,
Dubai,,6,4,Edulcorante x caja,2,,,Dubai,5,5,,,,,,,,,,,,,,,
Caja para paleta,,HAY,,Chocolate submarino,7,,,, , ,,,,,,,,,,,,,,,
MINI TORTAS,,,,Capuccino ,HAY,,,Yogur Vaini. ligth xLts. ,1,,,,,,,,,,,,,,,,
Nutella,,3,,Aguas ,7,, ,Miel,HAY, ,,,,,,,,,,,,,,,
Dulccina,,2,1,Aguas saborizadas,12,,,Granola,HAY, ,,,,,,,,,,,,,,,
Cheescake DL/ Oreo,,1,2,Gaseosas ,12,,,Sandwich de j y q,0,MANDAR,,,,,,,,,,,,,,,
Caja mini torta ,,HAY,,,,,,Sandiwch de t y q,1 BAND 5 UNID,MANDAR,,,,,,,,,,,,,,,
Frappes:polvo capuccino,,HAY,,,,,,, , ,,,,,,,,,,,,,,,
Vaso frappe,,HAY,,DESCARTABLES:,,,  ,Utiles:, , ,,,,,,,,,,,,,,,
leche entera,,3,1,Vaso de cafe chico 180 cc,1,,1,Lapiceras,HAY,,,,,,,,,,,,,,,,
CUADRADOS:,,,,Vaso de cafe grande 240 cc,1,,1,Felpón,HAY,,,,,,,,,,,,,,,,
Brownie,,5,,Removedor de cafe,HAY,,,Broches n°21/6,HAY,,,,,,,,,,,,,,,,
Coco,,6,,Porta vaso de cafe,HAY,,,Liquido corrector ,HAY, ,,,,,,,,,,,,,,,
Pastafrola,,4,,Bandeja telgopor ,HAY,,,Remito devolucion mercaderia,HAY, ,,,,,,,,,,,,,,,
POSTRE ENVASADO:,,,,Recipiente p/ dulce,HAY,,,Sobres,HAY,,,,,,,,,,,,,,,,
Tiramisu,,0,2,,,, ,Gomillas,HAY,,,,,,,,,,,,,,,,
Brownie con frutos rojos,,1,1,,,,,Cinta transparente,4,,,,,,,,,,,,,,,,
Suspiro limeño,,,,,,,,,,,,,,,,,,,,,,,,,
"MANDAR PAN CELIACO, MANDAR CAMBIO",,,,,,,,,,,,,,,,,,,,,,,,,
, ,  ,,,  ,, ,,,,,,,,,,,,,,,,,,
,, ,,, ,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,, ,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,
