Sucursal: CATAMARCA,,,FECHA,15/09/25,,,,Encargado:,,,,,,,,,,,,,,,,,
,POZO,SALON,MANDAR,,HAY,,MANDAR,,HAY,MANDAR,,,,,,,,,,,,,,,
ALMENDRADO,,1,,Tacita diet:,,,,Moños por paquete,HAY,,,,,,,,,,,,,,,,
AMERICANA,,1 3/4,,Anana,2,,,Velas,HAY,,,,,,,,,,,,,,,,
ANANA,,0,1/2,Durazno,2,,,bandeja chica,2,,,,,,,,,,,,,,,,
ARANDANOS Y CASIS,,1 1/2,1,Americana,3,,,Bandeja grande,2,,,,,,,,,,,,,,,,/
BANANA SPLIT,,1 1/2,1,Banana,1,,1,helafilm 1/4 kg,2,,,,,,,,,,,,,,,,
BANANINA,,-1/4,1/4,Dulce de Leche,1,,1,Helafim 1/2 kg,2,,,,,,,,,,,,,,,,
BOMBON ROCHER,,1,1,Vainilla,4,,,Helafim 1 kg,2,,,,,,,,,,,,,,,,
CAYOTE CON NUEZ,,-1/4,1/4,,,,,Cinta con logo Tello,,,,,,,,,,,,,,,,,
CEREZA,,3/4,1,Tortas Heladas:,ENTERA,PORCION,MANDAR,,,,,,,,,,,,,,,,,,
COCOLECHE,,2,,Omelette,3,,1,Cajas:,,,,,,,,,,,,,,,,,
CREMA BISCUIT,1,1 1/4,,Clasica am/choc,2,,,Tartas,60,40,,,,,,,,,,,,,,,
CREMA DE CAFÉ,,2,,Clasica vai/ dl,4,,,Tortas Medianas,15,5,,,,,,,,,,,,,,,
CREMA DE HIGO C/NUEZ,,2,,Bombon ,3,,1,Tortas Grandes,20,,,,,,,,,,,,,,,,
CREMA DEL CIELO,,2,,Primavera,2,,2,Blondas,30,40,,,,,,,,,,,,,,,
CREMA DON PEDRO,,2,,Del Americana,3,,,,,,,,,,,,,,,,,,,,
CREMA FLAN,,0,2,Del Dulce d leche,4,,,Para Postre:,,,,,,,,,,,,,,,,,
CREMA RUSA,,-1/4,1/4,Verona,0,,2,Mini Tarta Manzana,2,2,,,,,,,,,,,,,,,
CHOCOLATE,,1 1/2,1,Chocooreo,4,,,Cookie Americana,2,2,,,,,,,,,,,,,,,
CHOCOLATE a la CUBANA,,-1/4,1/4,,,,,Topping Arandanos ,1,,,,,,,,,,,,,,,,
CHOCOLATE AMARGO,,2,,Tortas:,,,,Plancha brownie,10,,,,,,,,,,,,,,,,
CHOCOLATE BLANCO,,-1/2,1/2,Bomba,2,,,Volcan,5,5,,,,,,,,,,,,,,,
CHOCOLATE C/ALMENDRA,,1 1/2,1,Chaja,0,,,Sopa inglesa,2,,,,,,,,,,,,,,,,
CHOCOLATE C/CEREZAS,,-1/4,1/4,Imperial,0,,2,Hojaldre,10,,,,,,,,,,,,,,,,
CHOCOLATE DUBAI,,0,3,Maria Luisa,1,,1,Pera disecada,5,,,,,,,,,,,,,,,,
CHOCOLATE SUIZO,1,1,,Selva Negra,0,,1,Manzana disecada,5,,,,,,,,,,,,,,,,
CHOCOTORTA,,2,,Tropical,0,,2,,,,,,,,,,,,,,,,,,
DELICIA TELLO,,1 3/4,,,,,,Trufa p/Fondeau,60,,,,,,,,,,,,,,,,
DOLCCINO,,1 1/2,,Tartas:,,,,Chocolate para Fondeau,1,,,,,,,,,,,,,,,,
DULCE DE LECHE,,1,1,Brownie,8,,4,crema de leche,0,1/4,,,,,,,,,,,,,,,
DULCE LECHE BOMBON,,1/2,1,Cabsha,11,,1,Dulce de leche familiar,1,1,,,,,,,,,,,,,,,
DULCE DE LECHE C/NUEZ,,1,1,Higo,5,,15,Ensaladas fruta (lata),3,,,,,,,,,,,,,,,,
DULCE LECHE GRANIZ.,,1 1/2,1,Imperial,9,,3,Peras (lata),2,,,,,,,,,,,,,,,,
DULCE LECHE TENTAC.,,1 1/4,1,Lemon Pie,0,,3,Ganache blanca,1/4,,,,,,,,,,,,,,,,
DURAZNO AL AGUA,,1,,Maracuya,2,,1,alcohol liquido,1,,,,,,,,,,,,,,,,
FRUTILLA A LA CREMA,,1 1/2,1,Mousse,8,,4,Alcohol en Gel,,,,,,,,,,,,,,,,,
FRUTILLA AL AGUA,,-1/2,1/2,Rocher,7,,5,Cuchara media bola,,,,,,,,,,,,,,,,,
FRUTOS DEL BOSQUE,,1,1,Cheescake,0,,1,Espatula chata,,,,,,,,,,,,,,,,,
GRANIZADO,,1 1/4,1,,,,,Cornet,,,,,,,,,,,,,,,,,
KINDOVO,,-1/2,1/2,Salsas:,,,,,,,,,,,,,,,,,,,,,
KINOTOS AL WHISKY,,-1/4,1/4,Caramelo,3,,,Rollos p/imp. fiscal,,,,,,,,,,,,,,,,,
LIMON,1,1,,Chocolate,2,,1,Rollo Posnet,,,,,,,,,,,,,,,,,
LEMON PIE,,2,,Dulce de Leche,3,,,,,,,,,,,,,,,,,,,,
MANGO,,-1/2,1/2,Frutilla,3,,,Chocolates,,,,,,,,,,,,,,,,,
MANTECOL,,-1/2,1/2,Sirope p/ Affogato,1,,,Almendra baña x 100,14,,,,,,,,,,,,,,,,
MANZANAS AL OPORTO,,-1/4,1/4,,,,,Almendra baña x 250,16,,,,,,,,,,,,,,,,
MARACUYA,,1,,Agregados:,,,,Almendra confitada x100,,,,,,,,,,,,,,,,,
MARROC,,-1/4,1/4,Azucar,1/4,,,Almendra confitada x250,,,,,,,,,,,,,,,,,
MENTA GRANIZADA,,-1/4,1/4,Baño de choco,1,,,,,,,,,,,,,,,,,,,,
PANACOTTA,,1 3/4,,Logo Tello,1,,,Tabletas de chocolate,11,4,,,,,,,,,,,,,,,
PISTACCHIO,,0,2,Cerezas (lata),2,,,Marroc,,,,,,,,,,,,,,,,,
SAMBAYON,,2,,chispas de choco,1,,,Oreo,,,,,,,,,,,,,,,,,
TIRAMISU,,-1/4,1/4,Kinotos (lata),1,,,Frutos secos,,,,,,,,,,,,,,,,,
TORTA BROWNIE,,-1/2,1/2,Lajas,HAY,,,Rocklets,,,,,,,,,,,,,,,,,
VAINILLA,,1 1/4,1,Merenguitos,1,,2,Dubai,23,,,,,,,,,,,,,,,,
VAINILLA GRANIZADA,,-1/4,1/4,Nueces,0,,1,,,,,,,,,,,,,,,,,,
YOGURT GRIEGO,,-1/4,1/4,Rocklets,0,,1,Caja Bom. Tello chic. (5 u),,,,,,,,,,,,,,,,,
ICE POP (PALETAS),,,,Pañuelos p/copas,,1,,Caja Bom. Tello Med (7 u),,,,,,,,,,,,,,,,,
Clasica,,8,2,Leche descremada,7,,3,Caja Bom.Tello Gde (12 u),,,,,,,,,,,,,,,,,
Tango,,8,2,Bombones p/ café,0,,100,,,,,,,,,,,,,,,,,,
Corazon,,6,,Chocolate p/ submarino,5,,,Utiles,,,,,,,,,,,,,,,,,
Carita,,6,,,,,,Lapiceras,,,,,,,,,,,,,,,,,
Pata,,4,2,BOLSAS,,,,Felpón,,,,,,,,,,,,,,,,,
Torta,,4,2,Bolsa consorcio,4,,1,Broches n°21/6,,,,,,,,,,,,,,,,,
Chancho,,5,1,Bolsa residuos,2,,3,Liquido corrector,,,,,,,,,,,,,,,,,
Cristal,,8,2,Bolsa camiseta,1,,,Remito devolución mercaderia,,,,,,,,,,,,,,,,,
chocolatin,,9,1,bolsa p/conito,3,,,SOBRES,,,,,,,,,,,,,,,,,
Vaca Aurora,,5,1,Bolsa chica c/logo (papel),50,,100,Gomillas ,,,,,,,,,,,,,,,,,
Dona Banana Split,,6,,Bolsa gde. c/logo (papel),300,,,Cinta transparente,,,,,,,,,,,,,,,,,
Dona flan,,4,2,Bolsa gde. c/logo (plast. torta redonda),2,,,,,,,,,,,,,,,,,,,,
Hello Kitty,,6,,Bolsa rectang. c/logo (plast. torta rectang.),2,,,,,,,,,,,,,,,,,,,,
Dubai,,8,2,Delivery (papel s/manija),500,,,,,,,,,,,,,,,,,,,,
Caja para paleta,,0,,,,,,,,,,,,,,,,,,,,,,,
Minitortas,,,,Guantes ,0,,3,,,,,,,,,,,,,,,,,,
Nutella,,1,3,Portaconos,60,,100,,,,,,,,,,,,,,,,,,
Dulccina,,3,1,Cucharita sundae,1,,1,,,,,,,,,,,,,,,,,,
Cheescake DL/ Oreo,,4,,Folex,1,,,,,,,,,,,,,,,,,,,,
Cajas mini torta,,HAY,,Serivilleta blancas,1,,,,,,,,,,,,,,,,,,,,
