Sucursal Monteagudo,,,,14/9/2025,,,,,,,,,,,,,,,,,,,,,
,pozo,salon,mandar,,Hay,,Mandar,,Hay,Mandar,,,,,,,,,,,,,,,
,,,,,,,,Moños por paquete,,MANDAR,,,,,,,,,,,,,,,
ALMENDRADO,,1/4,,Tacita diet:,,,,Velas,HAY,,,,,,,,,,,,,,,,
AMERICANA,,1+1/2,,Anana,2,,,Bandeja chica,HAY,,,,,,,,,,,,,,,,
ANANA,,1/2,,Durazno,3,,,Bandeja grande,HAY,,,,,,,,,,,,,,,,
ARANDANOS Y CASSIS,,1+1/4,,Americana,3,,,Helafim 1/4 kg,2,,,,,,,,,,,,,,,,
BANANA SPLIT,,3/4,1,Banana,3,,,Helafim 1/2 kg,2,,,,,,,,,,,,,,,, /
BANANINA,1,1/4,,Dulce de Leche,1,,2,Helafim 1 kg,2,,,,,,,,,,,,,,,,/
BOMBON ROCHER,1,1+1/2,,Vainilla,2,,1,Cinta con Logo Tello,3,2,,,,,,,,,,,,,,,/
CAYOTE CON NUEZ,,1/4,1,,,,,,,,,,,,,,,,,,,,,,
CEREZA,,1+1/2,,Tortas Heladas:,Entera,Porcion,MANDAR,Cajas:,,,,,,,,,,,,,,,,, 
COCOLECHE,,-1/4,1,Omelette,3,,,Tartas,64,,,,,,,,,,,,,,,,
CREMA BISCUIT,,1,1,Clasica Am/ Choc.,3,,,Tortas Medianas,13,,,,,,,,,,,,,,,,
CREMA DE CAFÉ,,1/4,,Clasica Vai/ DL,2,,1,Tortas Grandes,6,,,,,,,,,,,,,,,,/
CREMA DE HIGO C/NUEZ,,-1/2,1,Bombon,1,,2,Blondas,HAY,,,,,,,,,,,,,,,,
CREMA DEL CIELO,,1/4,,Primavera,3,,,,,,,,,,,,,,,,,,,,/
CREMA DON PEDRO,,1/4,,Del. De Amer.,2,,1,Para Postre :,,,,,,,,,,,,,,,,,
CREMA FLAN,,0,1,Del. De D. de L,3,,,Mini Tarta Manzana,3,,,,,,,,,,,,,,,,
CREMA RUSA,,1/4,,Verona,3,,,Cookie Americana,4,,,,,,,,,,,,,, ,,
